Date,Region,District/Market,Maize_Min_Price,Maize_Max_Price,Rice_Min_Price,Rice_Max_Price,Sorghum_Min_Price,Sorghum_Max_Price,Bulrush_Min_Price,Bulrush_Max_Price,Finger_Millet_Min_Price,Finger_Millet_Max_Price,Wheat_Min_Price,Wheat_Max_Price,Beans_Min_Price,Beans_Max_Price,Irish_Potatoes_Min_Price,Irish_Potatoes_Max_Price
05 Mei, 2021,Arusha,Arusha (Urban),43000,45000,170000,140000,60000,65000,70000,75000,120000,125000,70000,78000,130000,165000,70000,75000
05 Mei, 2021,D'Salaam,Temeke (Tandika),46000,47000,120000,210000,80000,100000,80000,100000,175000,180000,110000,120000,220000,260000,75000,75000
05 Mei, 2021,Dodoma,Dodoma Majengo,45000,50000,200000,NA,50000,60000,52000,NA,200000,NA,NA,NA,NA,NA,200000,NA
05 Mei, 2021,Dodoma,Kibaigwa,30000,42000,132000,NA,45000,48000,NA,64000,252000,NA,NA,NA,NA,NA,245000,NA
05 Mei, 2021,Kagera,Bukoba,33000,35000,140000,110000,140000,150000,120000,140000,180000,170000,170000,180000,110000,170000,60000,75000
05 Mei, 2021,Manyara,Babati,30000,45000,170000,120000,60000,80000,80000,100000,130000,120000,100000,120000,150000,180000,60000,60000
05 Mei, 2021,Rukwa,Mpanda,30000,42000,140000,80000,NA,NA,NA,120000,180000,100000,NA,75000,60000,70000,NA,NA
05 Mei, 2021,Rukwa,Sumbawanga,30000,30000,90000,100000,75000,90000,NA,150000,165000,NA,110000,180000,50000,65000,NA,NA
05 Mei, 2021,Rukwa,Mpanda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05 Mei, 2021,Mtwara,Mtwara,57000,57000,180000,130000,100000,100000,NA,NA,180000,180000,NA,NA,190000,200000,55000,60000
05 Mei, 2021,Tabora,Tabora,34000,36000,100000,120000,140000,150000,NA,NA,180000,190000,NA,NA,180000,190000,70000,75000
05 Mei, 2021,Tanga,Tanga,38000,45000,120000,150000,90000,100000,100000,100000,150000,140000,120000,120000,190000,200000,55000,58000
