Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2021-05-21,Arusha,Arusha (Urban),45000,46000,165000,140000,65000,70000,75000,75000,130000,135000,65000,70000,130000,165000,75000,70000
2021-05-21,"D'Salaam",Temeke (Tandika),48000,50000,120000,210000,100000,80000,80000,90000,100000,80000,180000,175000,100000,100000,140000,110000
2021-05-21,"D'Salaam",Kinondoni (Tandale),40000,43000,120000,200000,80000,100000,100000,80000,NA,NA,220000,180000,270000,240000,70000,75000
2021-05-21,"D'Salaam",Ilala (Buguruni),44000,46000,220000,140000,90000,80000,80000,80000,NA,NA,NA,NA,200000,220000,64000,64000
2021-05-21,Dodoma,Majengo,53000,34000,110000,NA,62000,42000,55000,NA,135000,NA,NA,NA,NA,190000,56000,NA
2021-05-21,Dodoma,Kibaigwa,49000,44000,190000,NA,50000,40000,62000,NA,190000,NA,NA,NA,NA,NA,66000,NA
2021-05-21,Iringa,Iringa,42000,42000,120000,200000,NA,NA,NA,NA,NA,NA,NA,NA,120000,150000,45000,45000
2021-05-21,Kagera,Bukoba,34000,39000,140000,108000,150000,140000,120000,170000,80000,80000,80000,150000,65000,110000,90000
2021-05-21,Kigoma,Kigoma,36000,39000,120000,100000,80000,120000,140000,180000,100000,100000,100000,130000,60000,130000,90000
2021-05-21,Manyara,Babati,30000,45000,120000,170000,60000,80000,80000,100000,130000,120000,120000,100000,150000,180000,65000,65000
2021-05-21,Rukwa,Sumbawanga,25000,30000,125000,90000,NA,NA,NA,NA,100000,90000,90000,90000,70000,135000,60000,75000
2021-05-21,Mpanda,Mpanda,30000,30000,80000,110000,75000,90000,NA,NA,180000,200000,NA,NA,150000,200000,65000,50000
2021-05-21,Mtwara,Mtwara,42000,42000,180000,113000,100000,100000,NA,NA,180000,180000,NA,NA,170000,180000,50000,55000
2021-05-21,Morogoro,Morogoro,39062,42968,120000,100000,100000,100000,120000,120000,180000,170000,150000,150000,180000,195000,80125,81000
2021-05-21,Tabora,Tabora,34000,36000,120000,100000,150000,140000,NA,NA,180000,190000,NA,NA,180000,190000,75000,70000
2021-05-21,Mwanza,Mwanza,60000,55000,110000,220000,130000,150000,130000,180000,180000,200000,NA,NA,150000,230000,70000,75000
2021-05-21,Mara,Musoma,50000,55000,100000,110000,55000,50000,NA,NA,180000,200000,NA,NA,180000,200000,100000,85000
2021-05-21,Ruvuma,Songea,35000,45000,200000,130000,NA,NA,NA,NA,NA,NA,NA,NA,180000,160000,70000,75000
2021-05-21,Shinyanga,Shinyanga,42000,48000,110000,100000,85000,80000,90000,80000,100000,110000,NA,NA,170000,180000,NA,NA
2021-05-21,Tanga,Tanga,43000,45000,120000,160000,90000,100000,100000,150000,120000,130000,120000,120000,190000,200000,58000,60000
