Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2021-05-28,Arusha,Arusha (Urban),47000,52000,140000,165000,70000,75000,75000,78000,138000,140000,80000,90000,150000,170000,75000,80000
2021-05-28,D'Salaam,Temeke (Tandika),48000,50000,120000,120000,100000,100000,80000,80000,62000,70000,140000,150000,80000,110000,150000,170000
2021-05-28,D'Salaam,Kinondoni (Tandale),42000,43000,120000,210000,100000,175000,80000,NA,50000,60000,130000,220000,80000,140000,220000,180000
2021-05-28,D'Salaam,Ilala (Buguruni),44000,50000,120000,180000,80000,180000,80000,NA,44000,75000,NA,240000,100000,220000,195000,200000
2021-05-28,Dodoma,Majengo,46500,55000,125000,220000,90000,190000,80000,NA,46500,60000,NA,220000,62000,150000,170000,190000
2021-05-28,Kagera,Bukoba,44000,50000,100000,150000,62000,135000,54000,150000,120000,170000,80000,70000,56000,60000,110000,100000
2021-05-28,Manyara,Babati,30000,45000,120000,170000,60000,80000,100000,130000,120000,140000,150000,180000,75000,140000,70000,75000
2021-05-28,Rukwa,Sumbawanga,27000,33000,90000,130000,NA,NA,NA,NA,90000,120000,NA,NA,60000,68000,65000,61600
2021-05-28,Rukwa,Mpanda,30000,30000,80000,110000,90000,75000,NA,NA,180000,NA,NA,180000,65000,56000,65000,60000
2021-05-28,Mtwara,Mtwara,57000,57000,130000,180000,100000,100000,NA,NA,180000,NA,NA,180000,60000,75000,50000,75000
2021-05-28,Tabora,Tabora,34000,36000,100000,120000,150000,140000,NA,NA,190000,NA,NA,180000,75000,95000,50000,85000
2021-05-28,Mwanza,Mwanza,45000,50000,85000,100000,180000,180000,180000,180000,NA,NA,160000,75000,75000,65000,65000
2021-05-28,Mara,Musoma,55000,55000,110000,150000,50000,200000,55000,200000,NA,NA,180000,95000,65000,70000,65000,65000
2021-05-28,Ruvuma,Songea,35000,50000,130000,200000,NA,NA,NA,NA,NA,NA,160000,75000,NA,NA,NA,NA
2021-05-28,Shinyanga,Shinyanga,42000,48000,100000,110000,85000,80000,90000,110000,NA,NA,170000,90000,75000,NA,NA
2021-05-28,Tanga,Tanga,39814,39814,120000,150000,90000,90000,100000,150000,120000,180000,58000,60000,NA,NA,NA,NA
