Date,Region,District / Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
04 Juni, 2021,Arusha,Arusha (Urban),43000,45000,165000,140000,65000,70000,65000,70000,130000,132000,75000,80000,145000,165000,75000,70000
04 Juni, 2021,D'Salaam,Temeke (Tandika),46000,48000,200000,100000,80000,100000,80000,100000,175000,180000,110000,130000,190000,220000,75000,70000
04 Juni, 2021,D'Salaam,Kinondoni (Tandale),42000,44000,120000,220000,80000,100000,80000,80000,160000,NA,140000,NA,180000,200000,54000,68000
04 Juni, 2021,D'Salaam,Ilala (Buguruni),43000,50000,180000,120000,80000,90000,80000,80000,NA,160000,NA,140000,240000,220000,50000,
04 Juni, 2021,Dodoma,Majengo,48000,58000,125000,195000,50000,63000,54000,62000,135000,195000,NA,NA,195000,220000,56000,67000
04 Juni, 2021,Kagera,Bukoba,44000,50000,150000,108000,130000,140000,120000,150000,150000,170000,150000,170000,110000,150000,60000,75000
04 Juni, 2021,Manyara,Babati,36000,42000,170000,130000,60000,80000,80000,100000,120000,130000,100000,120000,150000,180000,65000,65000
04 Juni, 2021,Rukwa,Sumbawanga,30000,36000,90000,130000,NA,NA,NA,NA,75000,90000,75000,80000,75000,140000,60000,70000
04 Juni, 2021,Mpanda,Mpanda,30000,30000,80000,110000,75000,90000,NA,NA,180000,200000,NA,NA,150000,200000,65000,50000
04 Juni, 2021,Mtwara,Mtwara,42000,42000,120000,150000,90000,100000,NA,NA,180000,180000,NA,NA,175000,180000,60000,55000
04 Juni, 2021,Tabora,Tabora,"34 000",36000,120000,100000,140000,150000,NA,NA,180000,190000,NA,NA,180000,190000,70000,75000
04 Juni, 2021,Mwanza,Mwanza,45000,50000,180000,85000,150000,180000,180000,200000,NA,NA,160000,180000,75000,95000,
04 Juni, 2021,Mara,Musoma,55000,55000,110000,100000,50000,55000,200000,NA,180000,200000,180000,200000,240000,200000,75000,85000
04 Juni, 2021,Ruvuma,Songea,40000,50000,130000,200000,NA,NA,NA,NA,NA,NA,NA,NA,160000,200000,75000,70000
04 Juni, 2021,Shinyanga,Shinyanga,42000,48000,110000,100000,80000,85000,60000,90000,100000,110000,NA,NA,170000,180000,90000,80000
04 Juni, 2021,Tanga,Tanga,39814,39814,120000,150000,90000,90000,100000,100000,180000,200000,120000,120000,180000,190000,60000,58000
