Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Wheat Min Price,Wheat Max Price,Finger Millet Min Price,Finger Millet Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha (Urban),42000,46000,140000,165000,70000,75000,100000,130000,145000,175000,70000,70000,175000,190000,70000,80000
D'Salaam,Temeke (Tandika),45000,48000,100000,200000,80000,75000,80000,180000,190000,220000,80000,75000,220000,130000,80000,75000
D'Salaam,Kinondoni (Tandale),42000,43000,120000,180000,80000,100000,80000,160000,160000,180000,160000,140000,240000,50000,54000
D'Salaam,Ilala (Buguruni),44000,50000,120000,220000,80000,80000,90000,NA,NA,200000,NA,NA,220000,68000,61600
Dodoma,Majengo,45000,55000,130000,195000,48000,56000,54000,140000,195000,NA,NA,180000,210000,68000
Kagera,Bukoba,44000,50000,108000,150000,130000,120000,140000,150000,150000,150000,150000,170000,110000,60000,75000
Manyara,Babati,36000,42000,130000,170000,60000,80000,80000,120000,130000,100000,120000,150000,180000,65000,65000
Rukwa,Sumbawanga,30000,36000,90000,130000,NA,NA,NA,75000,90000,75000,80000,75000,140000,60000,70000
Mpanda,Mpanda,30000,30000,80000,110000,75000,90000,NA,180000,200000,NA,NA,150000,200000,65000,50000
Mtwara,Mtwara,42000,42000,120000,150000,90000,100000,NA,180000,NA,180000,NA,175000,180000,60000,55000
Tabora,Tabora,34000,36000,100000,120000,140000,NA,150000,180000,190000,NA,NA,180000,190000,70000,75000
Mwanza,Mwanza,45000,50000,85000,180000,150000,50000,150000,180000,180000,NA,NA,160000,240000,75000
Mara,Musoma,55000,55000,100000,110000,180000,180000,200000,200000,NA,NA,NA,180000,200000,95000,85000
Ruvuma,Songea,40000,50000,130000,200000,NA,NA,NA,NA,NA,NA,NA,160000,200000,75000,70000
Shinyanga,Shinyanga,42000,48000,100000,110000,80000,85000,60000,100000,110000,NA,NA,170000,180000,80000,90000
Tanga,Tanga,43518,43518,120000,150000,90000,90000,100000,180000,120000,200000,120000,180000,190000,60000,58000
