Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha (Urban),43000,45000,140000,165000,70000,75000,75000,80000,130000,135000,75000,80000,140000,165000,80000,70000
D'Salaam,Temeke (Tandika),48000,46000,100000,200000,80000,100000,80000,100000,175000,180000,110000,130000,190000,220000,70000,75000
D'Salaam,Kinondoni (Tandale),43000,42000,180000,120000,80000,100000,80000,80000,160000,160000,140000,140000,180000,240000,50000,54000
D'Salaam,Ilala (Buguruni),44000,50000,120000,220000,80000,90000,80000,80000,NA,NA,NA,NA,200000,220000,68000,61600
Dodoma,Majengo,45000,55000,130000,195000,48000,54000,56000,60000,140000,195000,NA,NA,180000,210000,68000,56000
Kagera,Bukoba,45000,50000,150000,170000,130000,NA,120000,150000,150000,170000,150000,170000,115000,150000,60000,75000
Manyara,Babati,36000,42000,108000,130000,60000,140000,80000,100000,100000,130000,120000,130000,150000,180000,65000,65000
Rukwa,Sumbawanga,30000,40000,120000,120000,NA,NA,NA,NA,NA,NA,NA,NA,75000,75000,60000,75000
Mpanda,Mpanda,36000,40000,80000,150000,75000,90000,NA,NA,NA,NA,NA,NA,180000,180000,65000,50000
Mtwara,Mtwara,30000,34000,80000,120000,90000,140000,NA,NA,NA,NA,NA,NA,180000,180000,55000,60000
Tabora,Tabora,30000,36000,110000,100000,100000,150000,NA,NA,NA,NA,NA,NA,190000,190000,70000,75000
Mwanza,Mwanza,45000,55000,85000,180000,150000,180000,150000,180000,180000,200000,NA,NA,160000,240000,75000,75000
Mara,Musoma,55000,50000,110000,100000,50000,55000,180000,200000,180000,200000,NA,NA,180000,200000,95000,85000
Ruvuma,Songea,40000,50000,200000,130000,NA,NA,NA,NA,NA,NA,NA,NA,160000,170000,75000,70000
Shinyanga,Shinyanga,48000,42000,110000,100000,80000,85000,60000,90000,100000,110000,NA,NA,200000,180000,90000,80000
Iringa,Iringa,40000,49625,NA,120000,NA,150000,NA,150000,NA,150000,NA,140000,140000,180000,80000,80000
Morogoro,Morogoro,35000,42968,200000,150000,150000,100000,140000,140000,170000,170000,150000,150000,180000,195000,70000,81000
Tanga,Tanga,43518,43518,150000,120000,90000,90000,100000,100000,180000,200000,120000,120000,180000,190000,58000,60000
