Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
02 JULY, 2021,Arusha,Arusha (Urban),50000,48000,180000,120000,57000,60000,65000,70000,110000,120000,75000,80000,120000,180000,80000,75000
02 JULY, 2021,D'Salaam,Temeke (Tandika),46000,47000,180000,120000,90000,100000,100000,80000,150000,180000,110000,130000,190000,220000,75000,75000
02 JULY, 2021,D'Salaam,Kinondoni (Tandale),43000,42000,120000,160000,70000,70000,70000,70000,160000,160000,110000,110000,220000,200000,55000,55000
02 JULY, 2021,D'Salaam,Ilala (Buguruni),44000,50000,120000,220000,80000,60000,80000,80000,NA,NA,190000,145000,NA,NA,68000,61600
02 JULY, 2021,Dodoma,Majengo,45000,50000,125000,200000,90000,70000,50000,64000,NA,NA,NA,NA,235000,195000,66000,54000
02 JULY, 2021,Kagera,Bukoba,48000,50000,150000,104000,120000,130000,100000,120000,160000,150000,130000,150000,100000,140000,60000,70000
02 JULY, 2021,Manyara,Babati,45000,36000,170000,120000,60000,NA,100000,80000,120000,90000,100000,70000,180000,150000,50000,55000
02 JULY, 2021,Rukwa,Sumbawanga,33000,30000,90000,120000,80000,NA,NA,NA,130000,100000,120000,75000,175000,90000,60000,75000
02 JULY, 2021,Mpanda,Mpanda,30000,30000,110000,80000,75000,90000,NA,NA,180000,200000,NA,NA,200000,150000,55000,65000
02 JULY, 2021,Mtwara,Mtwara,40000,40000,120000,150000,90000,100000,NA,NA,180000,180000,NA,NA,170000,180000,55000,60000
02 JULY, 2021,Tabora,Tabora,34000,36000,120000,100000,140000,150000,NA,NA,190000,180000,NA,NA,180000,160000,70000,65000
02 JULY, 2021,Mwanza,Mwanza,65000,48000,200000,110000,150000,50000,180000,150000,180000,200000,NA,NA,150000,230000,75000,75000
02 JULY, 2021,Mara,Musoma,50000,55000,95000,110000,180000,55000,180000,200000,180000,200000,NA,NA,190000,180000,85000,95000
02 JULY, 2021,Kigoma,Kigoma,38000,39000,120000,100000,100000,100000,100000,80000,120000,130000,140000,140000,140000,130000,90000,85000
02 JULY, 2021,Ruvuma,Songea,45000,30000,200000,150000,NA,NA,NA,NA,NA,NA,NA,NA,180000,210000,70000,75000
02 JULY, 2021,Shinyanga,Shinyanga,46000,42000,90000,100000,70000,80000,70000,80000,110000,100000,90000,100000,180000,170000,90000,80000
02 JULY, 2021,Iringa,Iringa,38000,35000,120000,200000,NA,NA,NA,NA,150000,150000,150000,150000,150000,140000,45000,45000
02 JULY, 2021,Morogoro,Morogoro,45312,42968,150000,120000,150000,150000,140000,140000,170000,170000,150000,150000,195000,180000,70000,81000
02 JULY, 2021,Tanga,Tanga,50000,48148,120000,150000,80000,90000,100000,100000,160000,180000,120000,120000,180000,170000,58000,55000
