Region / Mkoa,District / Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha (Urban),47000,49000,120000,180000,57000,65000,110000,120000,80000,90000,180000,230000,65000,56000
D'Salaam,Kinondoni (Tandale),45000,70000,120000,170000,80000,70000,140000,160000,140000,140000,130000,200000,70000,68000
Dodoma,Majengo,45000,52000,130000,210000,63000,50000,148000,195000,NA,NA,195000,NA,NA,NA
Dodoma,Kibaigwa,36000,37000,NA,NA,35000,NA,ΝΑ,NA,NA,NA,240000,NA,NA,NA
Iringa,Iringa,35000,35000,100000,200000,100000,NA,NA,NA,NA,NA,NA,155000,45000,45000
Kagera,Bukoba,48000,52000,110000,150000,120000,100000,150000,100000,150000,130000,150000,100000,60000,70000
Kigoma,Kigoma,38000,44000,100000,120000,80000,80000,100000,NA,130000,NA,140000,NA,85000,85000
Njombe,Njombe,35000,42500,120000,188000,NA,NA,NA,NA,120000,120800,163000,30000,90000,90000
Manyara,Babati,42000,48000,120000,170000,60000,80000,120000,130000,100000,120000,168000,50000,120000,150000
Mara,Musoma,55000,60000,95000,110000,55000,60000,180000,200000,NA,NA,190000,55000,125000,180000
Morogoro,Morogoro,42968,43750,150000,170000,120000,120000,150000,160000,120000,150000,180000,70000,120800,170000
Mtwara,Mtwara,40000,40000,130000,180000,100000,NA,180000,180000,180000,NA,180000,81000,163000,160000
Mbeya,SIDO,36000,36000,120000,120000,NA,NA,NA,NA,120000,120000,168000,48000,100000,180000
Tabora,Tabora,34000,36000,100000,120000,140000,NA,NA,NA,180000,120000,168000,48000,30000,65000
Tanga,Tanga,44444,48148,120000,160000,80000,100000,160000,130000,130000,140000,170000,55000,30000,75000
Ruvuma,Songea,28000,45000,120000,200000,NA,NA,NA,NA,NA,NA,160000,58000,30000,70000
Sumbawanga,Rukwa,24000,27000,90000,120000,NA,NA,NA,NA,90000,75000,175000,NA,30000,30000
