Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha (Urban),48000,50000,135000,180000,58000,60000,65000,70000,115000,125000,90000,100000,140000,180000,60000,70000
D'Salaam,Kinondoni (Tandale),45000,70000,120000,170000,80000,80000,70000,70000,140000,160000,140000,140000,200000,230000,52000,52000
Dodoma,Majengo,45000,52000,130000,210000,63000,70000,50000,65000,148000,195000,NA,NA,195000,240000,56000,68000
Dodoma,Kibaigwa,36000,37000,NA,NA,40000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iringa,Iringa,35000,35000,100000,200000,100000,200000,NA,NA,NA,NA,NA,NA,110000,150000,45000,45000
Kagera,Bukoba,50000,52000,110000,150000,120000,130000,100000,150000,150000,155000,130000,150000,112000,140000,60000,70000
Kigoma,Kigoma,38000,44000,100000,120000,70000,80000,70000,100000,100000,120000,120000,130000,110000,120000,70000,90000
Njombe,Njombe,30000,35000,120000,188000,NA,NA,NA,NA,120000,125000,120800,120800,100000,163000,30000,30000
Manyara,Babati,42000,48000,120000,170000,60000,80000,80000,100000,120000,130000,100000,120000,150000,168000,55000,55000
Mara,Musoma,55000,60000,95000,110000,55000,60000,180000,200000,180000,200000,NA,NA,180000,190000,95000,85000
Morogoro,Morogoro,42187,43750,150000,170000,120000,120000,120000,120000,150000,160000,120000,150000,180000,180000,70000,81000
Mtwara,Mtwara,40000,40000,130000,180000,100000,100000,NA,NA,180000,180000,NA,NA,170000,180000,55000,60000
Tabora,Tabora,34000,36000,100000,120000,140000,150000,NA,NA,180000,190000,NA,NA,160000,180000,65000,70000
Tanga,Tanga,44444,48148,120000,160000,80000,90000,100000,100000,160000,180000,120000,130000,160000,190000,58000,75000
Ruvuma,Songea,28000,45000,130000,200000,NA,NA,NA,NA,NA,NA,NA,NA,170000,210000,55000,70000
Shinyanga,Shinyanga,40000,42000,90000,100000,70000,80000,70000,80000,100000,110000,90000,100000,170000,180000,90000,80000
Sumbawanga,Rukwa,20000,24000,90000,120000,NA,NA,NA,NA,90000,120000,70000,75000,90000,185000,NA,NA
