Region / Mkoa,District / Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha (Urban),47000,49000,140000,175000,55000,60000,60000,65000,120000,125000,90000,95000,140000,180000,60000,65000
D'Salaam,Kinondoni (Tandale),52000,70000,120000,160000,70000,80000,70000,75000,120000,160000,140000,140000,200000,220000,55000,55000
D'Salaam,Temeke (Tandika),47000,48000,120000,190000,80000,80000,80000,80000,150000,160000,130000,140000,180000,220000,64000,64000
Dodoma,Majengo,45000,50000,132000,210000,55000,65000,50000,62000,130000,190000,NA,NA,170000,200000,68000,58000
Dodoma,Kibaigwa,35000,36000,NA,NA,40000,43000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iringa,Kagera,35000,50000,100000,110000,100000,120000,NA,NA,NA,NA,NA,NA,112000,140000,45000,50000
Iringa,Bukoba,35000,52000,200000,150000,200000,130000,100000,120000,150000,155000,170000,130000,60000,70000
Kigoma,Njombe,38000,44000,100000,120000,70000,80000,70000,80000,100000,120000,150000,120800,85000,90000,30000,30000
Kigoma,Njombe,30000,35000,120000,188000,NA,NA,NA,NA,120000,125000,120800,163000,30000,30000,
Manyara,Babati,42000,48000,120000,170000,60000,80000,80000,100000,120000,130000,120000,150000,55000,75000
Moshi,Moshi,60000,60000,150000,200000,120000,120000,120000,160000,NA,NA,160000,168000,55000,75000
Mara,Musoma,60000,65000,95000,110000,60000,65000,180000,200000,180000,200000,NA,NA,180000,190000,85000,95000
Morogoro,Morogoro,42187,43750,150000,170000,120000,120000,120000,120000,150000,160000,120000,150000,180000,180000,81000,70000
Mtwara,Mtwara,40000,40000,130000,180000,100000,100000,NA,NA,180000,180000,NA,NA,170000,180000,60000,55000
Tabora,Tabora,34000,36000,100000,120000,140000,150000,NA,NA,180000,190000,NA,NA,160000,180000,65000,70000
Tanga,Tanga,44444,48148,120000,160000,80000,90000,100000,100000,160000,180000,120000,130000,160000,170000,53000,52000
Ruvuma,Songea,28000,45000,130000,200000,NA,NA,NA,NA,NA,NA,NA,NA,190000,210000,70000,75000
Rukwa,Sumbawanga,30000,32000,90000,120000,NA,NA,NA,NA,90000,100000,75000,75000,105000,175000,60000,75000
