Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Max Price,Bulrush Millet Min Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha (Urban),43000,45000,140000,165000,70000,75000,75000,130000,80000,135000,80000,75000,140000
D'Salaam,Temeke (Tandika),46000,47000,120000,180000,90000,80000,80000,150000,160000,180000,75000,50000,190000
D'Salaam,Kinondoni (Tandale),42000,43000,120000,180000,100000,100000,80000,160000,130000,240000,75000,55000,220000
D'Salaam,Ilala (Buguruni),44000,50000,120000,220000,90000,80000,80000,NA,NA,NA,NA,68000,200000
Dodoma,Majengo,49000,58000,125000,195000,61000,70000,53000,140000,195000,NA,NA,68000,195000
Kagera,Bukoba,45000,50000,108000,150000,140000,130000,120000,150000,150000,170000,170000,60000,150000
Manyara,Babati,36000,45000,120000,170000,80000,60000,NA,80000,NA,100000,120000,75000,130000
Rukwa,Sumbawanga,27000,36000,80000,120000,NA,NA,NA,NA,NA,120000,100000,65000,90000
Mpanda,Mpanda,30000,30000,80000,110000,90000,75000,NA,NA,NA,NA,NA,65000,200000
Mtwara,Mtwara,40000,40000,120000,150000,100000,90000,NA,NA,NA,NA,NA,60000,180000
Tabora,Tabora,34000,36000,100000,120000,150000,140000,NA,NA,NA,NA,NA,70000,190000
Mwanza,Mwanza,45000,55000,85000,180000,180000,150000,150000,180000,180000,200000,NA,75000,240000
Mara,Musoma,50000,55000,100000,110000,55000,50000,180000,180000,180000,200000,130000,95000,150000
Kigoma,Kigoma,34000,36000,100000,120000,100000,100000,80000,100000,100000,100000,130000,85000,150000
Ruvuma,Songea,40000,50000,130000,200000,NA,NA,NA,NA,NA,NA,NA,70000,200000
Shinyanga,Shinyanga,42000,48000,100000,110000,85000,80000,60000,100000,100000,NA,NA,90000,180000
Iringa,Iringa,35000,40000,120000,200000,NA,NA,NA,NA,NA,NA,NA,80000,140000
Morogoro,Morogoro,42968,49625,100000,150000,150000,150000,140000,140000,140000,150000,150000,70000,195000
Tanga,Tanga,43518,43518,120000,150000,90000,90000,100000,100000,100000,120000,120000,58000,190000
