Region/Mkoa,District/Market,Maize (Mahindi) Min Price,Maize (Mahindi) Max Price,Rice (Mchele) Min Price,Rice (Mchele) Max Price,Sorghum (Mtama) Min Price,Sorghum (Mtama) Max Price,Bulrush Millet (Uwele) Min Price,Bulrush Millet (Uwele) Max Price,Finger Millet (Ulezi) Min Price,Finger Millet (Ulezi) Max Price,Wheat (Ngano Punje) Min Price,Wheat (Ngano Punje) Max Price,Beans (Maharage) Min Price,Beans (Maharage) Max Price,Irish Potatoes (Viazi Mviringo) Min Price,Irish Potatoes (Viazi Mviringo) Max Price
Arusha,Arusha (Urban),48000,70000,180000,160000,50000,115000,65000,140000,45000,55000,65000,200000
D'Salaam,Kinondoni (Tandale),45000,65000,140000,120000,75000,150000,60000,150000,50000,75000,70000,180000
D'Salaam,Ilala(Buguruni),46000,48000,120000,120000,NA,NA,NA,NA,NA,NA,61600,64000
D'Salaam,Temeke (Tandika),47000,47000,200000,190000,80000,80000,150000,160000,200000,220000,54700,64000
Dodoma,Majengo,45000,54000,135000,150000,56000,120000,50000,150000,120000,175000,56000,56000
Dodoma,Kibaigwa,52000,50000,200000,110000,62000,180000,62000,200000,180000,190000,68500,68500
Kagera,Bukoba,35000,NA,NA,40000,NA,NA,NA,NA,NA,NA,NA,NA
Kagera,Bukoba,37000,150000,150000,120000,100000,150000,130000,155000,130000,100000,60000,60000
Kigoma,Kigoma,44000,120000,70000,70000,100000,150000,110000,90000,70000,60000
Kigoma,Kigoma,42000,100000,80000,80000,120000,150000,120000,85000,80000,70000
Katavi,Mpanda,30000,60000,50000,NA,NA,180000,NA,NA,NA,NA,65000,65000
Manyara,Babati,25000,90000,60000,90000,80000,120000,100000,130000,150000,150000,60000,60000
Mara,Musoma,65000,95000,60000,180000,180000,200000,180000,NA,85000,55000
Mara,Musoma,60000,110000,65000,200000,180000,NA,190000,55000,55000
Mwanza,Mwanza,65000,110000,NA,180000,200000,NA,NA,75000,75000
Mwanza,Mwanza,52000,200000,NA,150000,NA,150000,80000,55000
Morogoro,Morogoro,39062,180000,120000,120000,150000,140000,180000,74000,74000
Morogoro,Morogoro,41600,140000,120000,120000,160000,150000,180000,81000,81000
Moshi,Moshi,60000,150000,120000,120000,NA,180000,180000,70000,70000
Moshi,Moshi,60000,200000,120000,120000,NA,160000,180000,70000,70000
Mtwara,Mtwara,40000,180000,100000,NA,NA,NA,55000,55000
Mtwara,Mtwara,40000,150000,100000,NA,NA,NA,60000,60000
Tabora,Tabora,36000,120000,140000,NA,170000,NA,65000,65000
Tanga,Tanga,34000,100000,90000,NA,160000,NA,70000,70000
Tabora,Tabora,44444,130000,150000,100000,180000,120000,58000,58000
Tanga,Tanga,47222,160000,100000,100000,170000,130000,55000,55000
Ruvuma,Songea,28000,200000,NA,NA,NA,NA,75000,75000
Ruvuma,Songea,45000,140000,NA,NA,NA,NA,70000,70000
Shinyanga,Shinyanga,42000,90000,70000,70000,100000,170000,90000,90000
Shinyanga,Shinyanga,40000,100000,75000,75000,110000,175000,80000,80000
Sumbawanga,Rukwa,30000,90000,NA,NA,90000,120000,70000,70000
Sumbawanga,Rukwa,28000,120000,NA,NA,105000,190000,75000,75000
