Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha (Urban),45000,48000,140000,180000,50000,55000,60000,65000,115000,120000,95000,90000,140000,180000,45000,50000
D'Salaam,Kinondoni (Tandale),65000,70000,120000,160000,75000,75000,70000,70000,150000,150000,130000,130000,200000,230000,55000,55000
D'Salaam,Temeke (Tandika),47000,48000,120000,190000,80000,100000,80000,100000,150000,160000,130000,140000,180000,220000,64000,64000
Dodoma,Majengo,45000,52000,135000,200000,56000,62000,50000,62000,120000,180000,200000,150000,175000,190000,68500,56000
Dodoma,Kibaigwa,38000,45000,NA,NA,40000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kagera,Bukoba,50000,54000,110000,150000,120000,130000,100000,120000,150000,155000,130000,150000,100000,140000,60000,70000
Kigoma,Kigoma,42000,44000,100000,120000,70000,80000,70000,80000,100000,120000,150000,150000,110000,120000,85000,90000
Manyara,Babati,42000,48000,120000,180000,60000,80000,80000,180000,120000,130000,120000,NA,150000,160000,65000,70000
Mara,Musoma,60000,65000,95000,110000,60000,100000,100000,200000,180000,200000,100000,NA,180000,170000,55000,90000
Mwanza,Mwanza,52000,65000,110000,200000,NA,150000,150000,180000,180000,200000,NA,150000,150000,240000,75000,74000
Morogoro,Morogoro,39062,41600,140000,180000,120000,120000,120000,160000,150000,160000,NA,140000,180000,180000,80000,81000
Moshi,Moshi,60000,60000,150000,200000,120000,120000,120000,NA,NA,NA,NA,180000,NA,NA,70000,55000
Mtwara,Mtwara,40000,40000,150000,180000,100000,100000,NA,NA,NA,NA,NA,170000,NA,NA,70000,60000
Tabora,Tabora,34000,36000,100000,120000,140000,NA,NA,NA,NA,170000,NA,NA,160000,NA,90000,160000
Tanga,Tanga,44444,47222,130000,160000,90000,70000,100000,NA,NA,NA,NA,NA,NA,NA,100000,170000
Ruvuma,Songea,26000,45000,140000,200000,NA,150000,NA,NA,NA,NA,NA,NA,190000,NA,190000,210000
Shinyanga,Shinyanga,40000,42000,90000,100000,70000,100000,NA,NA,NA,NA,NA,NA,170000,NA,175000,175000
Rukwa,Sumbawanga,28000,30000,90000,120000,NA,NA,NA,NA,90000,105000,75000,75000,120000,190000,75000,70000
