Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,Wheat_MinPrice,Wheat_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
Arusha,Arusha (Urban),47000,49000,180000,160000,50000,55000,60000,65000,110000,150000,90000,120000,180000,130000,45000,50000
D'Salaam,Kinondoni (Tandale),65000,70000,140000,120000,80000,80000,70000,70000,NA,NA,85000,120000,220000,200000,47000,47000
D'Salaam,Temeke (Tandika),48000,49000,190000,135000,80000,100000,80000,100000,150000,160000,130000,150000,180000,180000,64000,68500
Dodoma,Majengo,45000,52000,120000,200000,56000,62000,50000,62000,120000,180000,140000,200000,220000,190000,68000,56000
Dodoma,Kibaigwa,38000,45000,NA,200000,40000,45000,NA,NA,NA,NA,NA,NA,NA,140000,NA,45000
Iringa,Iringa,32000,35000,NA,100000,NA,NA,NA,NA,150000,NA,NA,NA,NA,NA,NA,NA
Kagera,Bukoba,48000,50000,150000,108000,120000,130000,100000,120000,150000,160000,130000,150000,100000,140000,50000,60000
Kigoma,Kigoma,42000,44000,120000,100000,70000,80000,70000,80000,100000,120000,150000,150000,120000,110000,85000,90000
Manyara,Babati,42000,48000,120000,180000,60000,80000,80000,100000,120000,130000,120000,100000,168000,150000,55000,55000
Mwanza,Mwanza,52000,65000,200000,180000,NA,NA,150000,180000,180000,200000,NA,150000,150000,180000,75000,74000
Morogoro,Morogoro,39062,41600,110000,140000,120000,120000,120000,150000,150000,160000,NA,140000,240000,180000,80000,81000
Moshi,Moshi,58000,60000,200000,150000,120000,120000,120000,120000,NA,NA,180000,180000,NA,NA,70000,70000
Mtwara,Mtwara,40000,40000,180000,150000,100000,100000,NA,NA,NA,NA,NA,NA,170000,180000,55000,60000
Tabora,Tabora,34000,36000,120000,100000,140000,150000,NA,NA,170000,180000,NA,NA,160000,180000,65000,70000
Tanga,Tanga,44444,47222,130000,160000,90000,100000,100000,100000,160000,180000,120000,130000,180000,170000,55000,58000
Ruvuma,Songea,27000,40000,120000,150000,NA,NA,NA,NA,100000,150000,NA,NA,180000,150000,75000,70000
Shinyanga,Shinyanga,40000,42000,90000,100000,70000,75000,70000,75000,100000,110000,90000,100000,175000,170000,90000,80000
Rukwa,Sumbawanga,30000,33000,110000,80000,NA,NA,NA,NA,NA,NA,75000,80000,120000,180000,55000,70000
