Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha (Urban),46000,48000,140000,180000,60000,70000,75000,70000,120000,115000,90000,95000,120000,180000,45000,50000
D'Salaam,D'Salaam Kinondoni (Tandale),65000,70000,120000,160000,80000,NA,80000,NA,70000,70000,NA,NA,NA,NA,120000,200000
D'Salaam,Ilala (Buguruni),44000,45000,120000,200000,NA,NA,NA,NA,NA,NA,NA,NA,200000,220000,47000,43000
D'Salaam,Temeke (Tandika),45000,46000,110000,200000,80000,100000,80000,100000,150000,160000,130000,140000,190000,220000,70000,48000
Dodoma,Majengo,45000,50000,120000,180000,48000,55000,48600,58000,115000,160000,140000,182000,170000,180000,53000,62000
Dodoma,Kibaigwa,37000,38000,NA,NA,40000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kagera,Bukoba,46000,50000,110000,150000,120000,130000,120000,100000,150000,155000,150000,130000,100000,140000,60000,70000
Kigoma,Kigoma,42000,44000,100000,130000,100000,100000,100000,100000,140000,140000,150000,150000,130000,140000,65000,70000
Katavi,Mpanda,25000,30000,80000,100000,50000,70000,NA,NA,150000,180000,NA,NA,150000,200000,50000,40000
Njombe,Njombe,38000,42000,180000,250000,NA,NA,NA,NA,150000,170000,145000,150000,150000,200000,40000,45000
Manyara,Babati,42000,48000,120000,180000,60000,80000,80000,100000,120000,130000,120000,130000,150000,168000,65000,70000
Mwanza,Mwanza,52000,65000,110000,200000,NA,NA,150000,180000,180000,200000,NA,NA,150000,240000,75000,80000
Iringa,Iringa,32000,35000,120000,200000,80000,100000,NA,NA,NA,NA,150000,150000,150000,180000,45000,40000
Mara,Musoma,60000,65000,95000,110000,60000,65000,180000,200000,200000,180000,NA,NA,190000,200000,90000,95000
Mbeya,Mbeya,36000,36000,120000,120000,NA,NA,NA,NA,120000,120000,120000,120000,175000,175000,40000,40000
Morogoro,Morogoro,39062,39843,120000,150000,120000,120000,120000,120000,150000,160000,150000,140000,180000,185000,80000,74000
Mtwara,Mtwara,40000,40000,120000,170000,100000,100000,NA,NA,NA,NA,NA,NA,175000,180000,55000,60000
Tabora,Tabora,34000,36000,100000,120000,140000,150000,NA,NA,170000,180000,NA,NA,160000,180000,65000,70000
Tanga,Tanga,41666,46296,130000,160000,90000,100000,100000,100000,160000,180000,120000,130000,160000,180000,52000,55000
Ruvuma,Songea,27000,30000,110000,180000,NA,NA,NA,NA,150000,200000,NA,NA,110000,150000,75000,70000
Shinyanga,Shinyanga,40000,42000,100000,110000,70000,75000,70000,75000,100000,110000,110000,100000,170000,175000,80000,90000
Sumbawanga,Rukwa,24000,28000,90000,110000,NA,NA,NA,NA,NA,NA,75000,75000,120000,200000,60000,70000
