Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha (Urban),46000,47000,140000,180000,65000,70000,70000,75000,120000,115000,100000,90000,120000,180000,45000,50000
D'Salaam,Ilala (Buguruni),45000,46000,120000,200000,NA,80000,NA,100000,NA,80000,NA,100000,NA,NA,150000,160000
D'Salaam,Temeke(Tandika),45000,46000,110000,200000,NA,80000,NA,100000,NA,80000,NA,100000,NA,NA,130000,140000
Dodoma,Majengo,46000,51000,120000,180000,49000,55500,49000,58500,155000,110000,183000,141000,172000,185000,62000,54000
Dodoma,Kibaigwa,35000,38000,NA,NA,40000,42000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kagera,Bukoba,50000,55000,100000,150000,140000,150000,140000,150000,150000,155000,150000,170000,100000,145000,60000,70000
Kigoma,Kigoma,42000,44000,100000,130000,100000,100000,100000,100000,140000,140000,150000,150000,130000,140000,65000,70000
Katavi,Mpanda,25000,30000,80000,100000,50000,70000,NA,NA,180000,150000,NA,NA,150000,200000,40000,50000
Lindi,Lindi,60000,100000,115000,200000,150000,160000,NA,NA,NA,NA,NA,NA,200000,250000,NA,NA
Njombe,Njombe,38000,42000,180000,250000,NA,NA,NA,NA,NA,NA,150000,150000,150000,200000,40000,45000
Manyara,Babati,32000,42000,120000,180000,60000,80000,80000,NA,170000,130000,NA,NA,NA,NA,55000,60000
Iringa,Iringa,48000,35000,120000,200000,80000,100000,NA,100000,150000,145000,150000,150000,168000,170000,40000,40000
Mara,Musoma,60000,65000,95000,110000,60000,65000,180000,200000,180000,200000,NA,NA,190000,200000,90000,95000
Mbeya,Mbeya,36000,36000,120000,120000,NA,NA,NA,NA,120000,120000,120000,120000,175000,175000,40000,40000
Morogoro,Morogoro,39062,60000,120000,150000,120000,120000,120000,120000,160000,150000,150000,140000,170000,150000,80000,74000
Moshi,Moshi,39843,60000,150000,180000,120000,120000,120000,120000,NA,NA,120000,160000,190000,160000,70000,75000
Mtwara,Mtwara,40000,40000,120000,170000,100000,100000,NA,NA,NA,NA,NA,NA,175000,180000,56000,60000
Tabora,Tabora,34000,36000,95000,110000,140000,150000,NA,NA,170000,180000,NA,NA,160000,180000,65000,60000
Tanga,Tanga,41666,46296,130000,160000,90000,100000,100000,100000,160000,180000,120000,130000,160000,180000,52000,55000
Ruvuma,Songea,27000,30000,110000,180000,NA,NA,NA,NA,200000,110000,NA,NA,110000,170000,75000,70000
Shinyanga,Shinyanga,40000,42000,100000,110000,70000,75000,70000,75000,150000,100000,NA,NA,150000,150000,80000,90000
Rukwa,Sumbawanga,24000,28000,80000,110000,NA,NA,NA,NA,NA,NA,75000,75000,125000,200000,60000,70000
