Date,Region,District/Market,Maize Max Price,Maize Min Price,Rice Max Price,Rice Min Price,Sorghum Max Price,Sorghum Min Price,Bulrush Millet Max Price,Bulrush Millet Min Price,Finger Millet Max Price,Finger Millet Min Price,Wheat Max Price,Wheat Min Price,Beans Max Price,Beans Min Price,Irish Potatoes Max Price,Irish Potatoes Min Price
2021-08-13,Arusha,Arusha (Urban),47000,46000,140000,180000,65000,70000,70000,75000,120000,125000,95000,90000,120000,180000,45000,50000
2021-08-13,"D'Salaam",Ilala (Buguruni),45000,46000,120000,200000,NA,NA,NA,NA,NA,NA,NA,NA,200000,220000,38000,43000
2021-08-13,"D'Salaam",Temeke(Tandika),46000,45000,100000,125000,80000,48000,100000,53500,80000,46000,100000,55500,150000,110000,180000,150000
2021-08-13,Dodoma,Majengo,51000,47000,180000,175000,100000,53500,80000,46000,100000,55500,150000,110000,180000,150000,130000,120000
2021-08-13,Dodoma,Kibaigwa,48000,40000,NA,NA,40000,42000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-13,Kagera,Bukoba,50000,55000,100000,150000,120000,130000,100000,120000,150000,160000,130000,150000,100000,140000,60000,50000
2021-08-13,Katavi,Mpanda,30000,25000,80000,100000,50000,70000,NA,NA,150000,180000,NA,NA,150000,200000,40000,50000
2021-08-13,Iringa,Iringa,35000,32000,120000,200000,80000,100000,NA,NA,NA,NA,NA,NA,150000,170000,40000,40000
2021-08-13,Njombe,Njombe,38000,42000,180000,250000,NA,NA,NA,NA,150000,170000,145000,150000,150000,200000,45500,40000
2021-08-13,Manyara,Babati,42000,48000,120000,180000,60000,80000,80000,100000,120000,130000,120000,130000,150000,168000,60000,55000
2021-08-13,Mara,Musoma,60000,65000,95000,110000,60000,65000,180000,200000,180000,200000,NA,NA,190000,200000,90000,95000
2021-08-13,Mbeya,Mbeya,36000,36000,120000,120000,NA,NA,NA,NA,120000,120000,120000,120000,175000,175000,35000,35000
2021-08-13,Morogoro,Morogoro,39062,39843,130000,170000,120000,120000,110000,120000,160000,160000,150000,150000,180000,185000,74000,74000
2021-08-13,Moshi,Moshi,60000,60000,150000,180000,120000,120000,120000,120000,NA,NA,120000,160000,150000,160000,70000,75000
2021-08-13,Mtwara,Mtwara,40000,40000,120000,170000,70000,70000,NA,NA,NA,NA,NA,NA,175000,180000,55000,60000
2021-08-13,Mwanza,Mwanza,52000,65000,110000,200000,NA,NA,150000,180000,180000,200000,NA,NA,150000,240000,80000,75000
2021-08-13,Tabora,Tabora,36000,34000,95000,110000,140000,150000,NA,NA,170000,180000,NA,NA,160000,180000,65000,60000
2021-08-13,Tanga,Tanga,41666,46296,130000,160000,90000,100000,100000,100000,160000,180000,120000,130000,160000,180000,52000,55000
2021-08-13,Ruvuma,Songea,30000,27000,150000,200000,NA,NA,NA,NA,NA,NA,NA,NA,170000,170000,70000,75000
2021-08-13,Shinyanga,Shinyanga,45000,42000,100000,120000,70000,75000,70000,75000,100000,110000,NA,NA,190000,175000,80000,90000
2021-08-13,Rukwa,Sumbawanga,30000,27000,90000,110000,NA,NA,NA,NA,100000,130000,75000,75000,125000,200000,75000,60000
