Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2021-08-20,Arusha,Arusha (Urban),46000,47000,130000,180000,60000,65000,65000,70000,130000,132000,82000,85000,135000,165000,45000,50000
2021-08-20,"D'Salaam",Kinondoni (Tandale),70000,45000,200000,110000,80000,90000,70000,70000,NA,NA,120000,130000,200000,260000,47000,47000
2021-08-20,"D'Salaam",Ilala (Buguruni),46000,45000,200000,120000,NA,NA,NA,NA,NA,NA,NA,NA,220000,200000,45000,45000
2021-08-20,"D'Salaam",Temeke (Tandika),46000,45000,180000,100000,80000,100000,80000,100000,180000,150000,120000,130000,160000,190000,60000,60000
2021-08-20,Dodoma,Majengo,51000,48000,175000,105000,48000,53000,47000,55500,150000,115000,150000,180000,180000,170000,60000,55000
2021-08-20,Dodoma,Kibaigwa,39000,37000,NA,NA,40000,48000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-08-20,Kagera,Bukoba,52000,54000,150000,108000,NA,NA,150000,170000,150000,130000,140000,160000,110000,150000,52000,65000
2021-08-20,Katavi,Mpanda,30000,25000,100000,80000,50000,70000,NA,NA,180000,150000,NA,NA,150000,200000,40000,50000
2021-08-20,Kigoma,Kigoma,44500,44400,100000,110000,100000,100000,50000,70000,150000,150000,140000,150000,140000,150000,60000,60000
2021-08-20,Iringa,Iringa,33000,35000,200000,120000,NA,NA,NA,NA,NA,NA,NA,NA,150000,140000,45000,40000
2021-08-20,Njombe,Njombe,42000,38000,180000,250000,NA,NA,NA,NA,150000,170000,145000,150000,150000,200000,45500,40000
2021-08-20,Manyara,Babati,48000,42000,120000,180000,60000,80000,80000,100000,120000,130000,120000,130000,120000,150000,55000,60000
2021-08-20,Mara,Musoma,60000,65000,95000,110000,60000,65000,180000,200000,180000,200000,NA,NA,190000,200000,90000,95000
2021-08-20,Morogoro,Morogoro,39062,39843,130000,170000,120000,120000,110000,120000,160000,160000,150000,150000,185000,180000,74000,74000
2021-08-20,Mtwara,Mtwara,40000,40000,170000,120000,70000,70000,NA,NA,NA,NA,NA,NA,180000,175000,55000,60000
2021-08-20,Mwanza,Tabora,65000,52000,200000,110000,NA,140000,150000,150000,200000,180000,180000,170000,150000,250000,75000,75000
2021-08-20,Tabora,Mwanza,36000,35000,95000,110000,NA,NA,NA,NA,NA,NA,NA,NA,180000,160000,65000,60000
2021-08-20,Tanga,Tanga,46296,41666,130000,160000,90000,100000,100000,100000,180000,160000,130000,150000,170000,180000,45000,50000
2021-08-20,Ruvuma,Songea,28000,27000,140000,200000,NA,NA,NA,NA,NA,NA,NA,NA,150000,200000,75000,70000
2021-08-20,Rukwa,Sumbawanga,36000,32000,110000,90000,NA,NA,NA,NA,NA,NA,130000,120000,NA,NA,55000,75000
