Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2021-08-25,Arusha,Arusha (Urban),46000,47000,130000,180000,65000,70000,68000,70000,120000,125000,80000,85000,130000,170000,50000,45000
2021-08-25,"D'Salaam",Kinondoni (Tandale),70000,45000,200000,110000,80000,90000,70000,70000,NA,NA,120000,130000,200000,260000,47000,47000
2021-08-25,"D'Salaam",Ilala (Buguruni),46000,45000,120000,200000,NA,NA,NA,NA,NA,NA,NA,NA,200000,220000,43000,43000
2021-08-25,"D'Salaam",Temeke (Tandika),46000,48000,180000,110000,80000,100000,80000,100000,180000,150000,120000,140000,160000,210000,63000,63000
2021-08-25,Dodoma,Majengo,48000,40000,175000,110000,50000,53000,43000,50000,115000,150000,150000,180000,195000,175000,60000,56000
2021-08-25,Kagera,Bukoba,37000,36000,NA,NA,40000,NA,45000,NA,NA,NA,NA,NA,NA,NA,52000,65000
2021-08-25,Kibaigwa,,,55000,52000,150000,110000,NA,NA,NA,NA,150000,170000,150000,140000,160000,110000,NA,NA
2021-08-25,Katavi,Mpanda,36000,33000,90000,110000,50000,70000,NA,NA,180000,150000,NA,NA,150000,200000,50000,40000
2021-08-25,Kigoma,Kigoma,44500,44400,120000,100000,100000,100000,100000,100000,150000,150000,120000,120000,140000,150000,60000,50000
2021-08-25,Iringa,Iringa,33000,35000,120000,200000,NA,NA,NA,NA,NA,NA,NA,NA,140000,150000,50000,50000
2021-08-25,Njombe,Njombe,38000,42000,250000,180000,NA,NA,NA,NA,170000,150000,145000,150000,150000,200000,45500,40000
2021-08-25,Manyara,Babati,48000,42000,120000,180000,60000,80000,80000,100000,120000,130000,120000,130000,150000,120000,55000,60000
2021-08-25,Mara,Musoma,60000,65000,95000,110000,60000,65000,180000,200000,200000,180000,NA,NA,190000,200000,90000,95000
2021-08-25,Mtwara,Mtwara,40000,40000,120000,170000,70000,70000,NA,NA,NA,NA,NA,NA,175000,180000,55000,60000
2021-08-25,Mwanza,Mwanza,65000,55000,220000,110000,150000,180000,180000,200000,200000,180000,NA,NA,150000,230000,80000,80000
2021-08-25,Tabora,Tabora,36000,35000,95000,110000,140000,90000,170000,180000,180000,160000,NA,NA,180000,160000,65000,60000
2021-08-25,Tanga,Tanga,44444,41666,130000,160000,150000,100000,150000,100000,100000,100000,130000,150000,170000,45000,50000
2021-08-25,Ruvuma,Songea,28000,27000,140000,200000,NA,NA,NA,NA,NA,NA,NA,NA,100000,150000,70000,75000
2021-08-25,Shinyanga,Shinyanga,45000,42000,120000,100000,70000,75000,70000,75000,100000,110000,100000,120000,190000,180000,90000,80000
2021-08-25,Rukwa,Sumbawanga,36000,32000,110000,90000,NA,NA,NA,NA,120000,130000,75000,80000,200000,135000,55000,75000
