Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Potatoes Min Price,Potatoes Max Price
30 AGOSTI, 2021,Arusha,Arusha (Urban),47000,48000,130000,190000,68000,70000,72000,70000,NA,NA,80000,85000,135000,175000,40000,45000
30 AGOSTI, 2021,D'Salaam,Kinondoni (Tandale),48000,70000,110000,200000,80000,90000,70000,NA,NA,NA,120000,130000,200000,260000,47000,47000
30 AGOSTI, 2021,D'Salaam,Ilala (Buguruni),45000,50000,120000,200000,NA,NA,NA,NA,NA,NA,NA,NA,200000,220000,43000,45000
30 AGOSTI, 2021,D'Salaam,Temeke (Tandika),46000,48000,120000,180000,75000,90000,90000,75000,150000,180000,125000,140000,170000,220000,63000,65000
30 AGOSTI, 2021,Dodoma,Majengo,38000,42000,115000,170000,53000,56000,50000,47000,110000,130000,150000,180000,170000,195000,58000,68000
30 AGOSTI, 2021,Dodoma,Kibaigwa,38000,40000,NA,NA,40000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30 AGOSTI, 2021,Kagera,Bukoba,54000,56000,110000,150000,NA,NA,150000,170000,130000,150000,140000,160000,110000,150000,55000,65000
30 AGOSTI, 2021,Iringa,Iringa,33000,35000,120000,200000,80000,100000,NA,NA,150000,150000,130000,130000,140000,150000,50000,50000
30 AGOSTI, 2021,Njombe,Njombe,35000,38000,115000,175000,NA,NA,NA,NA,116000,135000,113000,118000,128000,176000,30000,32500
30 AGOSTI, 2021,Manyara,Babati,42000,48000,120000,180000,60000,80000,100000,80000,120000,130000,120000,130000,120000,150000,65000,32500
30 AGOSTI, 2021,Mara,Musoma,60000,65000,100000,110000,60000,65000,NA,NA,180000,200000,NA,NA,190000,200000,90000,95000
30 AGOSTI, 2021,Morogoro,Morogoro,39062,39843,130000,170000,120000,120000,120000,110000,160000,160000,150000,150000,180000,185000,74000,74000
30 AGOSTI, 2021,Tabora,Tabora,35000,36000,95000,110000,140000,150000,NA,NA,170000,NA,NA,NA,160000,170000,60000,43000
30 AGOSTI, 2021,Tanga,Tanga,39840,46296,130000,160000,90000,100000,100000,100000,NA,180000,120000,130000,150000,180000,65000,48000
30 AGOSTI, 2021,Ruvuma,Songea,27000,28000,150000,200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,110000,75000,75000
30 AGOSTI, 2021,Rukwa,Sumbawanga,33000,36000,90000,120000,NA,NA,NA,NA,135000,150000,90000,100000,145000,200000,55000,75000
