Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha (Urban),47000,48000,130000,190000,65000,70000,65000,75000,NA,NA,90000,95000,135000,175000,40000,45000
D'Salaam,Kinondoni (Tandale),48000,70000,110000,200000,80000,80000,70000,70000,150000,150000,120000,130000,200000,260000,47000,47000
D'Salaam,Temeke (Tandika),45000,46000,120000,180000,90000,100000,90000,100000,150000,180000,130000,140000,170000,220000,63000,65000
Dodoma,Majengo,35000,40000,115000,175000,50000,60000,48000,52000,112000,138000,NA,NA,195000,170000,56000,68000
Dodoma,Kibaigwa,38000,40000,NA,NA,42000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kagera,Bukoba,54000,56000,110000,150000,120000,130000,150000,160000,150000,130000,140000,160000,150000,110000,50000,65000
Kigoma,Kigoma,47200,47200,90000,100000,80000,90000,80000,90000,160000,160000,150000,150000,145000,135000,40000,50000
Iringa,Iringa,33000,35000,120000,200000,80000,100000,NA,NA,150000,150000,130000,130000,140000,150000,50000,50000
Njombe,Njombe,35000,38000,115000,175000,NA,NA,NA,NA,135000,116000,118000,113000,176000,128000,30000,32500
Manyara,Babati,42000,48000,120000,180000,60000,80000,80000,100000,120000,130000,120000,130000,120000,150000,65000,65000
Mara,Musoma,60000,65000,100000,110000,60000,65000,180000,200000,180000,200000,NA,NA,190000,200000,90000,95000
Mtwara,Mtwara,40000,40000,120000,170000,55000,60000,NA,NA,180000,180000,NA,NA,170000,165000,55000,60000
Morogoro,Morogoro,40000,41000,160000,180000,120000,120000,120000,120000,160000,160000,150000,150000,180000,180000,70000,70000
Tabora,Tabora,35000,36000,95000,110000,140000,150000,NA,NA,180000,170000,NA,NA,180000,160000,60000,65000
Tanga,Tanga,41666,46296,130000,160000,80000,90000,100000,100000,160000,180000,120000,130000,140000,180000,42000,47000
Ruvuma,Songea,26000,27000,140000,200000,NA,NA,NA,NA,NA,NA,NA,NA,110000,140000,70000,75000
Shinyanga,Shinyanga,42000,45000,100000,120000,110000,120000,100000,110000,110000,120000,110000,100000,180000,170000,80000,90000
Sumbawanga,Rukwa,30000,33000,90000,120000,NA,NA,NA,NA,125000,150000,90000,100000,135000,200000,60000,75000
