Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price,Date
Arusha,Arusha (Urban),47000,48000,130000,190000,65000,70000,65000,75000,NA,NA,85000,90000,140000,175000,40000,45000,15 SEPТЕМВА, 2021
D'Salaam,Kinondoni (Tandale),48000,70000,200000,110000,80000,80000,70000,70000,150000,150000,120000,130000,200000,260000,48000,70000,15 SEPТЕМВА, 2021
D'Salaam,Temeke (Tandika),45000,46000,180000,175000,90000,100000,90000,100000,150000,180000,130000,140000,170000,220000,63000,65000,15 SEPТЕМВА, 2021
Dodoma,Majengo,37000,40000,120000,115000,62000,50000,48000,52000,110000,130000,NA,ΝΑ,175000,195000,48000,57000,15 SEPТЕМВА, 2021
Dodoma,Kibaigwa,40000,42000,NA,NA,40000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15 SEPТЕМВА, 2021
Kagera,Bukoba,55000,60000,150000,105000,70000,100000,90000,120000,150000,160000,140000,150000,100000,150000,50000,65000,15 SEPТЕМВА, 2021
Kigoma,Kigoma,47200,47200,90000,100000,90000,80000,80000,90000,160000,160000,150000,150000,135000,145000,40000,50000,15 SEPТЕМВА, 2021
Iringa,Iringa,32000,33000,120000,200000,80000,100000,NA,NA,150000,150000,130000,130000,150000,180000,50000,80000,15 SEPТЕМВА, 2021
Njombe,Njombe,35000,38000,175000,115000,NA,NA,NA,NA,116000,135000,113000,118000,128000,176000,30000,32500,15 SEPТЕМВА, 2021
Manyara,Babati,35000,48000,180000,120000,80000,60000,80000,100000,120000,130000,120000,130000,120000,150000,45000,45000,15 SEPТЕМВА, 2021
Mwanza,mwanza,55000,62000,110000,250000,180000,150000,200000,200000,NA,NA,NA,NA,170000,250000,80000,80000,15 SEPТЕМВА, 2021
Mara,Musoma,60000,65000,100000,110000,65000,60000,180000,200000,180000,200000,NA,NA,190000,200000,90000,95000,15 SEPТЕМВА, 2021
Mtwara,Mtwara,40000,40000,120000,170000,60000,55000,NA,NA,180000,180000,NA,NA,165000,170000,55000,60000,15 SEPТЕМВА, 2021
Morogoro,Morogoro,40000,41000,180000,95000,120000,140000,120000,160000,160000,180000,150000,180000,160000,180000,70000,70000,15 SEPТЕМВА, 2021
Tabora,Tabora,35000,36000,160000,110000,120000,150000,NA,170000,NA,NA,NA,150000,180000,160000,60000,65000,15 SEPТЕМВА, 2021
Tanga,Tanga,41666,46296,130000,160000,90000,80000,100000,100000,160000,180000,120000,130000,140000,180000,42000,47000,15 SEPТЕМВА, 2021
Ruvuma,Songea,26000,28000,200000,140000,NA,NA,NA,NA,NA,NA,NA,NA,110000,140000,72000,75000,15 SEPТЕМВА, 2021
Shinyanga,Shinyanga,42000,45000,120000,90000,120000,110000,100000,110000,110000,120000,100000,170000,80000,90000,15 SEPТЕМВА, 2021
Rukwa,Sumbawanga,30000,33000,100000,120000,110000,NA,NA,NA,NA,125000,NA,135000,60000,70000,15 SEPТЕМВА, 2021
