Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price,Date
Arusha,Arusha (Urban),46000,48000,130000,195000,60000,65000,70000,75000,NA,NA,75000,80000,135000,175000,45000,40000,20 SEPTEMBER, 2021
D'Salaam,Kinondoni (Tandale),50000,65000,110000,180000,80000,80000,70000,70000,160000,160000,120000,120000,180000,260000,70000,48000,20 SEPTEMBER, 2021
D'Salaam,Ilala (Buguruni),44500,45000,200000,180000,NA,90000,NA,100000,NA,90000,NA,100000,NA,150000,NA,180000,20 SEPTEMBER, 2021
D'Salaam,Temeke (Tandika),45000,46000,120000,120000,90000,100000,120000,100000,150000,180000,NA,NA,130000,140000,180000,170000,20 SEPTEMBER, 2021
Dodoma,Majengo,40000,48000,120000,170000,52000,65000,50000,56000,113000,132000,NA,NA,175000,198000,58000,48000,20 SEPTEMBER, 2021
Dodoma,Kibaigwa,42000,60000,NA,150000,40000,75000,NA,90000,NA,150000,NA,NA,140000,150000,NA,NA,20 SEPTEMBER, 2021
Kagera,Bukoba,55000,NA,100000,45000,100000,90000,120000,150000,160000,NA,100000,NA,65000,50000,20 SEPTEMBER, 2021
Kigoma,Kigoma,44000,42000,100000,100000,100000,100000,150000,150000,150000,150000,130000,140000,50000,40000,20 SEPTEMBER, 2021
Iringa,Iringa,32000,33000,120000,200000,80000,100000,NA,NA,150000,150000,130000,130000,150000,180000,50000,80000,20 SEPTEMBER, 2021
Manyara,Babati,35000,48000,120000,110000,60000,80000,80000,120000,130000,120000,NA,120000,150000,45000,20 SEPTEMBER, 2021
Mara,Musoma,60000,65000,180000,100000,60000,65000,180000,200000,180000,130000,190000,200000,90000,95000,20 SEPTEMBER, 2021
Mtwara,Mtwara,40000,40000,120000,170000,55000,60000,NA,NA,180000,180000,NA,NA,165000,170000,55000,60000,20 SEPTEMBER, 2021
Morogoro,Morogoro,40000,41000,180000,160000,120000,120000,120000,120000,160000,160000,150000,150000,180000,180000,70000,70000,20 SEPTEMBER, 2021
Tabora,Tabora,35000,36000,95000,130000,140000,150000,NA,NA,170000,180000,NA,NA,130000,160000,60000,45000,20 SEPTEMBER, 2021
Tanga,Tanga,41666,46296,110000,110000,80000,90000,100000,100000,160000,180000,NA,NA,120000,140000,65000,45000,20 SEPTEMBER, 2021
Shinyanga,Shinyanga,42000,45000,150000,100000,110000,120000,100000,110000,110000,120000,110000,100000,170000,180000,80000,90000,20 SEPTEMBER, 2021
Sumbawanga,Rukwa,30000,33000,90000,130000,NA,NA,NA,NA,130000,150000,90000,100000,135000,200000,55000,70000,20 SEPTEMBER, 2021
