Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha (Urban),46000,48000,130000,195000,60000,65000,70000,75000,NA,NA,75000,80000,135000,175000,40000,45000
D'Salaam,Kinondoni (Tandale),50000,65000,180000,110000,80000,80000,70000,70000,160000,160000,120000,120000,180000,260000,55000,55000
D'Salaam,Ilala (Buguruni),44500,45000,120000,200000,NA,90000,NA,NA,NA,NA,NA,NA,180000,150000,NA,NA
D'Salaam,Temeke (Tandika),45000,46000,180000,120000,90000,100000,90000,100000,NA,NA,NA,NA,130000,140000,170000,180000,63000,65000
Dodoma,Majengo,49000,50000,115000,172000,50000,56000,58000,50000,130000,110000,NA,NA,170000,198000,58000,48000
Dodoma,Kibaigwa,40000,43000,NA,NA,40000,44000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kagera,Bukoba,55000,60000,150000,100000,70000,100000,120000,90000,150000,160000,140000,150000,100000,150000,65000,50000
Kigoma,Kigoma,47220,47225,90000,100000,80000,100000,90000,100000,150000,150000,150000,150000,140000,145000,40000,50000
Iringa,Iringa,32000,32000,200000,120000,80000,100000,NA,NA,120000,120000,130000,130000,140000,180000,45000,45000
Manyara,Babati,40000,49000,120000,180000,60000,80000,100000,80000,120000,130000,120000,130000,120000,150000,50000,50000
Mara,Musoma,60000,65000,110000,100000,60000,65000,180000,200000,180000,200000,NA,NA,110000,200000,90000,90000
Mtwara,Mtwara,40000,40000,190000,140000,60000,120000,NA,NA,120000,120000,180000,180000,NA,NA,150000,155000
Morogoro,Morogoro,41000,40000,180000,160000,60000,120000,NA,NA,120000,120000,160000,160000,NA,NA,170000,180000
Moshi,Moshi,50000,55000,150000,200000,120000,140000,140000,NA,NA,NA,NA,NA,NA,150000,70000,70000
Tabora,Tabora,38000,40000,95000,110000,120000,150000,140000,NA,NA,NA,NA,NA,NA,160000,50000,55000
Tanga,Tanga,48000,48000,130000,110000,80000,90000,100000,100000,160000,180000,120000,130000,140000,160000,45000,45000
Ruvuma,Songea,25000,28000,140000,200000,NA,NA,NA,NA,NA,NA,NA,NA,120000,160000,75000,75000
Shinyanga,Shinyanga,42000,45000,150000,100000,110000,120000,110000,100000,NA,NA,120000,150000,110000,100000,90000,80000
Rukv,Sumbawanga,30000,33000,130000,90000,NA,NA,NA,NA,100000,110000,130000,180000,60000,55000
