Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2021-09-24,Arusha,Arusha (Urban),48000,47000,130000,195000,65000,68000,75000,77000,130000,135000,80000,90000,180000,140000,45000,40000
2021-09-24,Dodoma,Majengo,49000,44000,115000,170000,50000,62000,50000,58000,110000,130000,NA,NA,198000,170000,58000,48000
2021-09-24,Dodoma,Kibaigwa,40000,41000,NA,NA,45000,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-09-24,D'Salaam,Kinondoni (Tandale),75000,45000,120000,200000,80000,80000,70000,70000,160000,160000,120000,120000,180000,170000,55000,65000
2021-09-24,D'Salaam,Temeke (Tandika),50000,46000,140000,220000,90000,100000,90000,100000,150000,180000,130000,140000,260000,240000,55000,65000
2021-09-24,Iringa,Iringa,32000,32000,120000,200000,80000,100000,NA,NA,150000,150000,140000,140000,140000,150000,45000,45000
2021-09-24,Kagera,Bukoba,60000,55000,105000,150000,75000,100000,90000,120000,150000,160000,140000,150000,150000,110000,65000,50000
2021-09-24,Katavi,Mpanda,35000,50000,80000,110000,NA,NA,NA,NA,130000,150000,90000,100000,150000,170000,60000,55000
2021-09-24,Kigoma,Kigoma,47220,47225,90000,100000,80000,100000,90000,100000,150000,150000,150000,150000,145000,140000,50000,40000
2021-09-24,Kilimanajaro,Moshi,50000,55000,150000,200000,120000,120000,140000,140000,NA,NA,NA,NA,150000,150000,70000,70000
2021-09-24,Manyara,Babati,49000,44000,120000,180000,63000,60000,80000,NA,120000,130000,120000,NA,120000,150000,50000,60000
2021-09-24,Mtwara,Mtwara,40000,40000,140000,190000,80000,60000,NA,NA,180000,180000,NA,NA,155000,170000,50000,55000
2021-09-24,Njombe,Njombe,42000,38000,180000,250000,NA,NA,NA,NA,150000,170000,145000,150000,150000,200000,45500,40000
2021-09-24,Rukwa,Sumbawanga,33000,30000,90000,130000,NA,NA,NA,NA,130000,150000,90000,100000,180000,150000,55000,60000
2021-09-24,Ruvuma,Songea,30000,27000,140000,200000,NA,NA,NA,NA,NA,NA,NA,NA,120000,160000,75000,75000
2021-09-24,Shinyanga,Shinyanga,45000,46000,110000,140000,120000,130000,120000,130000,130000,140000,130000,150000,180000,170000,80000,90000
2021-09-24,Tabora,Tabora,40000,38000,95000,110000,140000,150000,NA,NA,170000,180000,NA,NA,180000,160000,50000,55000
2021-09-24,Tanga,Tanga,48000,48000,110000,130000,80000,90000,100000,100000,160000,180000,120000,130000,160000,140000,43000,43000
