Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Millet Min Price,Millet Max Price,Finger Wheat Min Price,Finger Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2021-09-29,Arusha,Arusha (Urban),47000,48000,130000,195000,62000,65000,70000,75000,130000,135000,75000,80000,140000,180000,45000,40000
2021-09-29,D'Salaam,Kinondoni (Tandale),50000,70000,120000,200000,80000,80000,70000,70000,160000,160000,120000,120000,180000,260000,55000,55000
2021-09-29,D'Salaam,Ilala (Buguruni),47000,48000,120000,200000,NA,NA,NA,NA,NA,NA,NA,NA,180000,200000,43000,48000
2021-09-29,D'Salaam,Temeke (Tandika),46000,48000,220000,140000,90000,100000,90000,100000,150000,180000,130000,140000,170000,240000,65000,65000
2021-09-29,Dodoma,Majengo,43000,49000,165000,115000,50000,65000,59000,50000,130000,113000,NA,NA,175000,195000,48500,58500
2021-09-29,Dodoma,Kibaigwa,40000,42000,NA,NA,40000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-09-29,Kagera,Bukoba,55000,60000,150000,105000,75000,100000,120000,90000,160000,150000,150000,170000,110000,150000,65000,50000
2021-09-29,Kigoma,Kigoma,47220,47225,90000,100000,80000,100000,100000,70000,150000,140000,150000,150000,130000,145000,40000,50000
2021-09-29,Iringa,Iringa,32000,32000,120000,200000,80000,100000,NA,NA,150000,150000,140000,140000,140000,150000,45000,45000
2021-09-29,Njombe,Njombe,38000,42000,180000,250000,NA,NA,NA,NA,150000,170000,145000,150000,150000,200000,40000,45500
2021-09-29,Manyara,Babati,42000,50000,120000,180000,63000,85000,100000,80000,120000,130000,120000,135000,120000,150000,52000,52000
2021-09-29,Mara,Musoma,60000,65000,110000,100000,60000,65000,200000,180000,180000,200000,NA,NA,190000,200000,90000,95000
2021-09-29,Morogoro,Morogoro,41496,42187,180000,170000,120000,120000,120000,120000,160000,160000,150000,150000,180000,180000,70000,70000
2021-09-29,Mtwara,Mtwara,40000,40000,150000,180000,60000,60000,NA,NA,180000,180000,NA,NA,170000,180000,60000,60000
2021-09-29,Mwanza,Mwanza,60000,68000,110000,250000,150000,200000,180000,200000,200000,200000,NA,NA,170000,240000,80000,80000
2021-09-29,Kilimanajaro,Moshi,55000,55000,150000,200000,120000,120000,140000,140000,NA,NA,NA,NA,150000,150000,70000,80000
2021-09-29,Tabora,Tabora,38000,40000,95000,110000,140000,150000,NA,NA,170000,180000,NA,NA,160000,180000,50000,55000
2021-09-29,Tanga,Tanga,49000,51000,130000,110000,80000,90000,100000,100000,180000,160000,120000,130000,140000,160000,44000,44000
2021-09-29,Ruvuma,Songea,25000,30000,140000,200000,NA,NA,NA,NA,NA,NA,NA,NA,120000,160000,72000,75000
2021-09-29,Shinyanga,Shinyanga,45000,46000,140000,110000,120000,130000,120000,130000,130000,140000,130000,150000,170000,180000,80000,90000
2021-09-29,Rukwa,Sumbawanga,28000,30000,130000,90000,NA,NA,NA,NA,130000,120000,70000,75000,120000,175000,45000,60000
