Market,Value addition,Previous week,Current week,Date
Dar - Kariakoo,Single refined,5500,5600,30/09/2021
Dar - Kariakoo,Double refined,6000,6000,30/09/2021
Dar - Kariakoo,Refined,5000,5000,30/09/2021
Dar - Buguruni,Single refined,5000,4500,30/09/2021
Dar - Buguruni,Double refined,5500,6500,30/09/2021
Dar - Buguruni,Refined,4500,4000,30/09/2021
Dodoma,Filtered,5000,5400,30/09/2021
Dodoma,Double refined,5600,6200,30/09/2021
Dodoma,Refined,3500,4712,30/09/2021
Tanga - Soko kuu,Filtered,6000,7350,30/09/2021
Tanga - Soko kuu,Double refined,7000,7000,30/09/2021
Tanga - Soko kuu,Refined,5000,6000,30/09/2021
Kagera - Bukoba,Filtered,4500,4500,30/09/2021
Kagera - Bukoba,Double refined,6500,6500,30/09/2021
Kagera - Bukoba,Refined,4500,4500,30/09/2021
Iringa - Manispaa,Filtered,5500,5500,30/09/2021
Iringa - Manispaa,Double refined,5000,6000,30/09/2021
Iringa - Manispaa,Refined,4000,4000,30/09/2021
Mwanza,Single refined,6000,6000,30/09/2021
Mwanza,Double refined,7000,7000,30/09/2021
Mwanza,Refined,5000,5000,30/09/2021
Mtwara,Single refined,5400,6000,30/09/2021
Mtwara,Double refined,5600,6000,30/09/2021
Mtwara,Refined,4800,5000,30/09/2021
Lindi,Single refined,5000,5500,30/09/2021
Lindi,Double refined,8000,9000,30/09/2021
Lindi,Refined,4000,5000,30/09/2021
Mbeya,Single refined,5000,NA,30/09/2021
Mbeya,Double refined,5000,NA,30/09/2021
Mbeya,Refined,4500,NA,30/09/2021
Morogoro,Single refined,5800,5800,30/09/2021
Morogoro,Double refined,7000,7000,30/09/2021
Morogoro,Refined,4000,4000,30/09/2021
Njombe,Filtered,6000,4500,30/09/2021
Njombe,Double refined,5000,5000,30/09/2021
Njombe,Refined,5500,4000,30/09/2021
Ruvuma,Single refined,4000,4000,30/09/2021
Ruvuma,Double refined,5000,4500,30/09/2021
Ruvuma,Refined,3000,3000,30/09/2021
Arusha,Single refined,4250,5000,30/09/2021
Arusha,Double refined,5200,5200,30/09/2021
Arusha,Refined,4300,4750,30/09/2021
Singida,Single refined,3500,5000,30/09/2021
Singida,Double refined,3800,7000,30/09/2021
Singida,Refined,3000,3000,30/09/2021
Shinyanga,Single refined,4800,5400,30/09/2021
Shinyanga,Double refined,5600,5600,30/09/2021
Shinyanga,Refined,4400,4400,30/09/2021
Manyara,Single refined,4500,5500,30/09/2021
Manyara,Double refined,6000,6000,30/09/2021
Manyara,Refined,4000,4000,30/09/2021
Sumbawanga,Single refined,3000,4000,30/09/2021
Sumbawanga,Double refined,5600,5600,30/09/2021
Sumbawanga,Refined,3000,3000,30/09/2021
Geita,Single refined,4500,N/A,30/09/2021
Geita,Double refined,5000,N/A,30/09/2021
Geita,Refined,3500,N/A,30/09/2021
Tabora,Single refined,5000,5300,30/09/2021
Tabora,Double refined,5000,5300,30/09/2021
Tabora,Refined,5000,4800,30/09/2021
Moshi-Manispaa,Single refined,5000,5400,30/09/2021
Moshi-Manispaa,Double refined,6000,6000,30/09/2021
Moshi-Manispaa,Refined,4000,5300,30/09/2021
Songea,Single refined,4500,4000,30/09/2021
Songea,Double refined,5000,5000,30/09/2021
Songea,Refined,4000,3500,30/09/2021
Mara,Single refined,5500,5500,30/09/2021
Mara,Double refined,6000,6000,30/09/2021
Mara,Refined,4000,4000,30/09/2021
Kigoma,Single refined,6000,5000,30/09/2021
Kigoma,Double refined,5500,6600,30/09/2021
Kigoma,Refined,2500,2800,30/09/2021
Mpanda,Single refined,4500,4500,30/09/2021
Mpanda,Double refined,5000,5000,30/09/2021
Mpanda,Refined,4000,4700,30/09/2021
