Date,Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,Wheat_MinPrice,Wheat_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
2021-10-04,Arusha,Arusha (Urban),48000,49500,130000,195000,55000,60000,60000,62000,136000,NA,135000,80000,80000,180000,140000,40000,45000
2021-10-04,"D'Salaam",Kinondoni (Tandale),50000,70000,180000,100000,80000,80000,70000,70000,120000,120000,120000,160000,200000,220000,55000,55000
2021-10-04,"D'Salaam",Ilala (Buguruni),48000,48000,120000,200000,NA,NA,NA,NA,NA,NA,NA,NA,180000,200000,48000,48000
2021-10-04,"D'Salaam",Temeke (Tandika),46000,48000,130000,220000,80000,100000,80000,100000,130000,150000,140000,180000,180000,240000,65000,65000
2021-10-04,Dodoma,Majengo,42000,48000,160000,110000,48000,60000,44000,50000,132000,115000,NA,NA,195000,170000,48000,58000
2021-10-04,Dodoma,Kibaigwa,40000,41000,NA,NA,40000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-04,Iringa,Iringa,32000,32000,120000,200000,80000,100000,NA,NA,150000,150000,140000,140000,150000,140000,45000,45000
2021-10-04,Kagera,Bukoba,54000,60000,150000,110000,70000,85000,90000,120000,150000,150000,160000,160000,150000,110000,60000,50000
2021-10-04,Kigoma,Kigoma,42000,44000,130000,125000,80000,100000,70000,100000,150000,140000,140000,150000,130000,140000,65000,70000
2021-10-04,Kilimanajaro,Moshi,55000,55000,150000,200000,120000,120000,140000,140000,NA,NA,NA,NA,150000,150000,70000,80000
2021-10-04,Manyara,Babati,42000,50000,120000,180000,63000,85000,80000,100000,120000,120000,130000,135000,150000,120000,52000,52000
2021-10-04,Mara,Musoma,60000,65000,110000,100000,60000,65000,180000,200000,200000,NA,180000,NA,190000,200000,90000,95000
2021-10-04,Morogoro,Morogoro,41496,42187,170000,180000,120000,120000,120000,120000,160000,160000,150000,150000,180000,180000,70000,70000
2021-10-04,Mtwara,Mtwara,40000,45000,180000,150000,60000,60000,NA,NA,180000,180000,NA,NA,165000,170000,60000,60000
2021-10-04,Mwanza,Mwanza,60000,68000,110000,250000,150000,200000,180000,200000,NA,200000,200000,NA,240000,170000,80000,80000
2021-10-04,Njombe,Njombe,38000,42000,180000,250000,NA,NA,NA,NA,150000,145000,150000,170000,150000,200000,40000,45500
2021-10-04,Rukwa,Sumbawanga,30000,32000,90000,150000,NA,NA,NA,NA,NA,NA,NA,NA,75000,120000,40000,72000
2021-10-04,Ruvuma,Songea,27000,30000,130000,200000,NA,NA,NA,NA,NA,NA,NA,NA,65000,130000,65000,75000
2021-10-04,Shinyanga,Shinyanga,45000,46000,110000,140000,120000,130000,120000,130000,130000,140000,130000,150000,180000,170000,90000,80000
2021-10-04,Tabora,Tabora,38000,40000,95000,110000,140000,150000,NA,NA,180000,NA,NA,170000,180000,160000,55000,50000
2021-10-04,Tanga,Tanga,49000,52000,130000,110000,80000,90000,100000,100000,130000,180000,160000,120000,140000,160000,44000,44000
