Date,Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,Wheat_MinPrice,Wheat_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
08 ОКТОВА, 2021,Arusha,Arusha (Urban),49000,50000,130000,195000,55000,80000,60000,80000,60000,70000,62000,70000,135000,136000,80000,85000
08 ОКТОВА, 2021,D'Salaam,Kinondoni (Tandale),50000,70000,100000,180000,80000,120000,120000,140000,130000,160000,180000,220000,120000,200000,50000,55000
08 ОКТОВА, 2021,D'Salaam,Ilala (Buguruni),47000,48000,120000,200000,NA,NA,NA,NA,NA,NA,NA,NA,180000,200000,48000,48000
08 ОКТОВА, 2021,D'Salaam,Temeke (Tandika),47000,49000,130000,220000,80000,100000,90000,100000,160000,180000,130000,140000,190000,240000,65000,65000
08 ОКТОВА, 2021,Dodoma,Majengo,42000,48000,110000,160000,48000,60000,44000,50000,115000,132000,NA,NA,170000,195000,48000,58000
08 ОКТОВА, 2021,Dodoma,Kibaigwa,40000,41000,NA,NA,40000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08 ОКТОВА, 2021,Kagera,Bukoba,56000,62000,120000,160000,75000,100000,90000,120000,150000,160000,170000,150000,120000,150000,60000,50000
08 ОКТОВА, 2021,Kigoma,Kigoma,42000,44000,125000,130000,80000,100000,50000,60000,140000,150000,140000,140000,130000,140000,65000,70000
08 ОКТОВА, 2021,Iringa,Iringa,32000,32000,120000,200000,80000,100000,NA,NA,150000,150000,140000,140000,140000,150000,45000,45000
08 ОКТОВА, 2021,Njombe,Njombe,38000,42000,180000,250000,NA,NA,NA,NA,150000,170000,150000,145000,150000,200000,40000,45500
08 ОКТОВА, 2021,Manyara,Babati,45000,50000,120000,180000,63000,85000,80000,100000,120000,130000,135000,120000,120000,150000,52000,52000
08 ОКТОВА, 2021,Mara,Musoma,60000,65000,100000,110000,60000,65000,180000,200000,180000,200000,NA,NA,190000,200000,90000,95000
08 ОКТОВА, 2021,Morogoro,Morogoro,41496,42187,170000,180000,120000,120000,120000,120000,160000,160000,150000,150000,180000,180000,70000,70000
08 ОКТОВА, 2021,Mtwara,Mtwara,40000,45000,150000,180000,60000,60000,NA,NA,180000,180000,NA,NA,165000,170000,60000,60000
08 ОКТОВА, 2021,Kilimanajaro,Moshi,55000,55000,150000,200000,140000,140000,140000,140000,NA,NA,NA,NA,150000,150000,70000,70000
08 ОКТОВА, 2021,Tabora,Tabora,38000,40000,95000,110000,140000,150000,NA,NA,170000,180000,NA,NA,160000,180000,50000,55000
08 ОКТОВА, 2021,Tanga,Tanga,49074,52000,110000,130000,80000,90000,100000,100000,160000,180000,130000,120000,160000,170000,44000,45000
08 ОКТОВА, 2021,Ruvuma,Songea,27000,30000,150000,200000,NA,NA,NA,NA,NA,NA,NA,NA,140000,160000,72000,75000
08 ОКТОВА, 2021,Shinyanga,Shinyanga,42000,46000,110000,140000,120000,130000,120000,130000,130000,120000,140000,125000,170000,180000,90000,65000
08 ОКТОВА, 2021,Rukwa,Sumbawanga,33000,33000,85000,130000,NA,NA,NA,NA,NA,NA,130000,140000,180000,180000,80000,40000
