Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2021-10-15,Arusha,Arusha (Urban),50000,51000,135000,195000,65000,NA,60000,62000,65000,135000,130000,85000,80000,140000,175000,55000,50000
2021-10-15,"D'Salaam",Ilala (Buguruni),47000,48000,120000,200000,NA,NA,NA,NA,NA,NA,NA,NA,180000,200000,48000,48000
2021-10-15,"D'Salaam",Temeke (Tandika),47000,49000,130000,220000,100000,70000,55000,60000,80000,46000,100000,50000,150000,115500,180000,65000,65000
2021-10-15,Dodoma,Majengo,43000,51000,165000,120000,55000,60000,NA,NA,NA,NA,NA,NA,190000,240000,59000,48000
2021-10-15,Dodoma,Kibaigwa,40000,42000,NA,NA,43000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-15,Kagera,Bukoba,62000,65000,124000,170000,80000,80000,100000,120000,160000,180000,170000,150000,150000,115000,65000,55000
2021-10-15,Kigoma,Kigoma,42000,44000,130000,110000,80000,80000,100000,100000,150000,150000,150000,150000,150000,150000,60000,70000
2021-10-15,Iringa,Iringa,32000,35000,200000,120000,100000,80000,NA,NA,150000,150000,140000,140000,150000,170000,45000,45000
2021-10-15,Lindi,Lindi,70000,100000,120000,250000,160000,80000,200000,200000,150000,200000,NA,NA,200000,250000,100000,80000
2021-10-15,Manyara,Babati,45000,52000,120000,180000,65000,85000,80000,100000,120000,130000,120000,140000,150000,120000,52000,52000
2021-10-15,Mara,Musoma,60000,65000,100000,110000,65000,60000,180000,200000,200000,180000,NA,NA,190000,200000,90000,95000
2021-10-15,Morogoro,Morogoro,46875,46875,180000,170000,120000,120000,120000,120000,180000,175000,170000,165000,180000,180000,78000,80000
2021-10-15,Njombe,Njombe,38000,42000,250000,180000,NA,NA,NA,NA,170000,150000,150000,145000,150000,200000,40000,45500
2021-10-15,Mtwara,Mtwara,40000,45000,180000,150000,60000,60000,NA,NA,180000,180000,NA,NA,165000,170000,60000,60000
2021-10-15,Mwanza,Mwanza,60000,68000,110000,250000,200000,180000,180000,200000,200000,200000,NA,NA,180000,180000,85000,85000
2021-10-15,Rukwa,Sumbawanga,31000,33000,80000,130000,NA,NA,NA,NA,120000,125000,70000,75000,120000,180000,65000,50000
2021-10-15,Ruvuma,Songea,27000,30000,150000,200000,NA,NA,120000,130000,NA,NA,130000,140000,NA,NA,73000,75000
2021-10-15,Shinyanga,Shinyanga,42000,46000,140000,110000,120000,130000,NA,NA,NA,NA,NA,NA,130000,140000,90000,80000
2021-10-15,Tabora,Tabora,38000,40000,95000,110000,150000,140000,NA,NA,180000,170000,NA,NA,180000,160000,50000,55000
2021-10-15,Tanga,Tanga,48148,49074,130000,160000,80000,90000,100000,100000,180000,160000,130000,120000,180000,160000,44000,45000
