Date,Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,Wheat_MinPrice,Wheat_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
2021-10-22,Arusha,Arusha (Urban),49000,50000,135000,195000,65000,70000,65000,70000,135000,130000,80000,85000,140000,170000,55000,50000
2021-10-22,D'Salaam,Temeke (Tandika),49000,47000,130000,220000,70000,100000,80000,100000,150000,180000,120000,130000,190000,240000,65000,65000
2021-10-22,Dodoma,Majengo,46000,40000,118000,160000,53000,60000,42000,48000,130000,110500,NA,NA,175000,195000,58000,47000
2021-10-22,Dodoma,Kibaigwa,40000,43000,NA,NA,40000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-10-22,Kagera,Bukoba,62000,65000,126000,170000,80000,130000,100000,120000,160000,180000,150000,170000,115000,150000,55000,65000
2021-10-22,Kigoma,Kigoma,44000,42000,110000,130000,80000,100000,100000,100000,150000,150000,150000,150000,140000,150000,65000,70000
2021-10-22,Iringa,Iringa,32000,35000,120000,200000,80000,100000,NA,NA,150000,150000,140000,140000,150000,170000,45000,45000
2021-10-22,Manyara,Babati,60000,50000,130000,180000,60000,80000,80000,100000,130000,120000,120000,130000,150000,162000,65000,70000
2021-10-22,Mara,Musoma,65000,60000,100000,110000,60000,65000,180000,200000,200000,180000,NA,NA,190000,200000,90000,95000
2021-10-22,Morogoro,Morogoro,47656,46875,170000,180000,120000,120000,120000,120000,180000,180000,170000,170000,180000,180000,78000,80000
2021-10-22,Mtwara,Mtwara,45000,40000,150000,170000,60000,60000,NA,NA,180000,180000,NA,NA,165000,170000,55000,50000
2021-10-22,Mwanza,Mwanza,68000,60000,110000,250000,180000,200000,180000,200000,200000,200000,NA,NA,180000,180000,85000,85000
2021-10-22,Njombe,Njombe,42000,38000,180000,250000,NA,NA,NA,NA,NA,NA,150000,170000,45500,40000,50000,65000
2021-10-22,Rukwa,Sumbawanga,30000,33000,90000,130000,NA,NA,NA,NA,NA,NA,130000,120000,70000,75000,200000,180000
2021-10-22,Ruvuma,Songea,27000,30000,150000,200000,NA,NA,NA,NA,NA,NA,140000,150000,73000,75000,150000,120000
2021-10-22,Shinyanga,Shinyanga,42000,46000,110000,140000,120000,130000,120000,130000,130000,140000,130000,140000,170000,180000,80000,85000
2021-10-22,Tabora,Tabora,38000,40000,95000,110000,140000,150000,NA,NA,180000,170000,NA,NA,160000,180000,55000,50000
2021-10-22,Tanga,Tanga,49074,48148,130000,160000,80000,90000,100000,100000,180000,160000,120000,130000,160000,180000,50000,50000
