Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Finger Millet Min Price,Finger Millet Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha (Urban),48000,49000,130000,200000,72000,75000,70000,72000,130000,133000,85000,80000,145000,170000,55000,50000
D'Salaam,Kinondoni (Tandale),47000,49000,200000,130000,80000,80000,70000,160000,70000,160000,120000,130000,170000,200000,65000,65000
D'Salaam,Temeke (Tandika),47000,49000,130000,220000,70000,100000,80000,180000,150000,100000,120000,130000,190000,240000,65000,65000
Dodoma,Majengo,44000,50000,165000,140000,60000,50000,45000,139000,50000,121000,NA,NA,185000,215000,48000,59000
Dodoma,Kibaigwa,40000,43000,NA,NA,45000,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kagera,Bukoba,62000,65000,130000,170000,120000,80000,100000,180000,160000,120000,150000,170000,120000,150000,60000,50000
Kigoma,Kigoma,47200,50000,120000,130000,100000,80000,60000,180000,180000,70000,150000,150000,130000,130000,70000,80000
Iringa,Iringa,33000,33000,120000,200000,100000,120000,NA,150000,150000,NA,140000,140000,150000,150000,30000,30000
Manyara,Babati,50000,60000,180000,130000,60000,80000,60000,160000,80000,140000,130000,120000,150000,168000,70000,70000
Mara,Musoma,60000,65000,110000,120000,65000,60000,180000,200000,180000,200000,NA,NA,190000,200000,90000,95000
Morogoro,Morogoro,46875,47656,180000,170000,120000,120000,120000,180000,120000,180000,170000,170000,180000,180000,78000,80000
Mtwara,Mtwara,45000,45000,150000,170000,80000,80000,NA,180000,180000,NA,NA,NA,165000,170000,65000,70000
Mwanza,Mwanza,60000,65000,130000,260000,180000,200000,180000,200000,200000,200000,NA,NA,180000,250000,85000,85000
Njombe,Njombe,38000,42000,180000,250000,NA,NA,NA,150000,170000,NA,145000,150000,150000,200000,45500,40000
Rukwa,Sumbawanga,33000,39000,120000,110000,NA,NA,NA,125000,145000,NA,75000,70000,145000,170000,50000,70000
Ruvuma,Songea,27000,30000,150000,200000,NA,NA,NA,NA,NA,NA,NA,NA,150000,160000,73000,75000
Shinyanga,Lindi,42000,46000,140000,120000,120000,150000,120000,130000,160000,180000,190000,90000,100000,100000
Shinyanga,Lindi,70000,100000,130000,200000,200000,200000,120000,200000,170000,200000,250000,80000,120000,130000
Tabora,Tabora,41000,42000,95000,110000,150000,140000,NA,170000,180000,NA,NA,NA,160000,180000,60000,70000
Tanga,Tanga,50925,50925,160000,140000,90000,80000,100000,180000,160000,100000,120000,130000,170000,180000,65000,65000
