Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,"Arusha (Urban)",48000,50000,130000,200000,65000,70000,70000,72000,130000,133000,80000,82000,165000,280000,60000,NA
D'Salaam,"Kinondoni (Tandale)",45000,50000,200000,130000,80000,80000,70000,70000,160000,160000,120000,130000,135000,240000,58000,NA
Dodoma,Majengo,45000,52000,170000,140000,60000,50000,46000,50000,121000,140000,NA,NA,185000,220000,58000,50000
Dodoma,Kibaigwa,45000,45000,NA,NA,45000,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iringa,Iringa,33000,35000,120000,200000,120000,100000,NA,NA,140000,140000,150000,150000,170000,150000,56250,50000
Kagera,Bukoba,60000,65000,170000,132000,120000,80000,100000,120000,160000,180000,150000,170000,150000,120000,60000,62500
Katavi,Mpanda,35000,42000,120000,110000,200000,180000,NA,NA,180000,200000,NA,NA,200000,160000,50000,65000
Kilimanajro,Moshi,57000,57000,150000,220000,120000,120000,120000,120000,NA,NA,140000,140000,160000,200000,50000,60000
Kigoma,Kigoma,47200,50000,120000,130000,70000,80000,150000,200000,180000,180000,150000,140000,130000,130000,80000,70000
Lindi,Lindi,70000,100000,130000,200000,80000,250000,200000,200000,180000,200000,150000,160000,180000,200000,100000,120000
Manyara,Babati,48000,60000,130000,180000,60000,80000,60000,80000,140000,160000,120000,130000,168000,150000,70000,70000
Mara,Musoma,60000,65000,120000,110000,65000,60000,180000,200000,180000,200000,NA,NA,190000,200000,90000,95000
Morogoro,Morogoro,46875,46875,180000,160000,150000,150000,150000,150000,160000,160000,150000,150000,190000,195000,80000,81000
Mtwara,Mtwara,45000,45000,150000,170000,80000,80000,NA,NA,180000,180000,NA,NA,165000,170000,65000,70000
Mwanza,Mwanza,62000,68000,135000,250000,200000,170000,200000,200000,200000,200000,NA,NA,175000,250000,85000,90000
Njombe,Njombe,50000,50000,250000,200000,NA,NA,NA,NA,150000,170000,145000,150000,200000,150000,60000,50000
Rukwa,Sumbawanga,35000,39000,130000,100000,NA,NA,NA,NA,120000,130000,70000,75000,180000,140000,55000,60000
Ruvuma,Songea,30000,30000,150000,200000,NA,NA,NA,NA,NA,NA,NA,NA,170000,160000,73000,75000
Shinyanga,Shinyanga,42000,46000,140000,130000,120000,130000,120000,130000,120000,130000,120000,130000,190000,180000,90000,80000
Tabora,Tabora,41000,42000,110000,100000,150000,140000,NA,NA,170000,180000,NA,NA,160000,200000,60000,70000
Tanga,Tanga,50000,51851,140000,160000,90000,80000,100000,100000,160000,180000,120000,130000,180000,170000,50000,50000
, , , , , , , , , , , , , , , , ,
