Date,Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,Wheat_MinPrice,Wheat_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
2021-11-26,Arusha,Arusha (Urban),48000,52000,130000,200000,65000,80000,125000,127000,70000,160000,65000,70000,70000,82000,65000,60000
2021-11-26,D'Salaam,Kinondoni (Tandale),49000,70000,200000,130000,70000,80000,160000,230000,80000,120000,130000,135000,280000,170000,55000,58000
2021-11-26,Dodoma,Majengo,46000,52000,180000,140000,50000,60000,47000,54000,122000,140000,NA,NA,225000,185000,57000,47000
2021-11-26,Dodoma,Kibaigwa,45000,45000,150000,150000,46000,46000,NA,NA,NA,NA,NA,NA,240000,185000,NA,NA
2021-11-26,Iringa,Iringa,33000,33000,120000,200000,100000,120000,NA,150000,150000,NA,150000,150000,150000,170000,50000,50000
2021-11-26,Kagera,Bukoba,60000,65000,170000,132000,80000,120000,100000,120000,160000,180000,170000,150000,115000,150000,50000,60000
2021-11-26,Katavi,Mpanda,35000,42000,120000,110000,180000,200000,NA,200000,180000,NA,NA,NA,160000,200000,65000,50000
2021-11-26,Kilimanajro,Moshi,57000,57000,150000,220000,120000,120000,120000,120000,NA,NA,140000,140000,160000,200000,50000,60000
2021-11-26,Kigoma,Kigoma,47200,50000,120000,130000,70000,80000,70000,180000,180000,80000,150000,150000,130000,130000,80000,70000
2021-11-26,Lindi,Lindi,70000,100000,130000,200000,150000,200000,200000,180000,200000,250000,140000,160000,180000,200000,100000,120000
2021-11-26,Manyara,Babati,48000,60000,130000,180000,60000,80000,60000,80000,140000,160000,120000,130000,150000,168000,70000,70000
2021-11-26,Mara,Musoma,60000,65000,120000,110000,60000,65000,180000,180000,200000,200000,NA,NA,190000,200000,90000,95000
2021-11-26,Morogoro,Morogoro,46875,46875,160000,180000,150000,150000,150000,150000,160000,160000,150000,150000,190000,195000,80000,81000
2021-11-26,Mtwara,Mtwara,45000,45000,150000,170000,80000,80000,NA,180000,NA,180000,NA,NA,165000,170000,65000,70000
2021-11-26,Mwanza,Mwanza,62000,68000,140000,270000,170000,200000,200000,200000,200000,200000,NA,NA,175000,280000,90000,85000
2021-11-26,Njombe,Njombe,50000,50000,250000,200000,NA,NA,NA,150000,170000,NA,145000,150000,150000,200000,60000,50000
2021-11-26,Rukwa,Sumbawanga,42000,45000,110000,150000,NA,NA,NA,NA,NA,NA,NA,NA,120000,160000,60000,75000
2021-11-26,Ruvuma,Songea,28000,30000,140000,200000,NA,NA,130000,150000,NA,NA,NA,NA,165000,170000,75000,78000
2021-11-26,Shinyanga,Shinyanga,44000,46000,130000,140000,120000,130000,120000,120000,130000,130000,120000,130000,180000,190000,90000,80000
2021-11-26,Tabora,Tabora,50000,52000,130000,110000,140000,150000,170000,180000,170000,180000,NA,NA,160000,200000,70000,80000
2021-11-26,Tanga,Tanga,55555,53703,160000,140000,90000,100000,80000,160000,180000,80000,130000,120000,180000,200000,65000,65000
