Date,Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,Wheat_MinPrice,Wheat_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
03 DESEMBA, 2021,Arusha,Arusha (Urban),55000,55000,130000,140000,60000,65000,62000,65000,128000,130000,80000,82000,135000,170000,60000,65000
03 DESEMBA, 2021,D'Salaam,Kinondoni (Tandale),54000,55000,200000,200000,75000,75000,70000,70000,160000,160000,120000,130000,240000,280000,55000,60000
03 DESEMBA, 2021,Dodoma,Majengo,47000,52000,185000,140000,50000,62000,47500,54000,123000,140000,NA,NA,185000,225000,48000,57000
03 DESEMBA, 2021,Dodoma,Kibaigwa,44000,46000,NA,NA,43000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03 DESEMBA, 2021,Iringa,Iringa,43000,43000,120000,200000,100000,120000,NA,NA,150000,150000,150000,150000,150000,170000,50000,50000
03 DESEMBA, 2021,Kagera,Bukoba,65000,60000,170000,132000,80000,120000,100000,120000,180000,160000,170000,150000,115000,150000,50000,60000
03 DESEMBA, 2021,Katavi,Mpanda,36000,54000,100000,140000,180000,200000,NA,NA,200000,180000,NA,NA,160000,200000,50000,65000
03 DESEMBA, 2021,Kilimanjaro,Moshi,60000,60000,200000,160000,120000,120000,120000,120000,NA,NA,140000,140000,170000,200000,70000,70000
03 DESEMBA, 2021,Lindi,Lindi,100000,70000,135000,200000,150000,200000,300000,300000,300000,150000,160000,160000,200000,200000,100000,100000
03 DESEMBA, 2021,Manyara,Babati,48000,60000,140000,200000,60000,80000,60000,80000,160000,140000,130000,120000,150000,168000,NA,NA
03 DESEMBA, 2021,Mara,Musoma,60000,65000,120000,125000,60000,150000,180000,150000,NA,NA,180000,200000,160000,180000,90000,80000
03 DESEMBA, 2021,Morogoro,Morogoro,48830,46875,180000,160000,80000,65000,200000,150000,NA,NA,160000,180000,165000,200000,65000,95000
03 DESEMBA, 2021,Mtwara,Mtwara,45000,45000,150000,170000,150000,80000,150000,NA,NA,NA,NA,NA,NA,80000,70000
03 DESEMBA, 2021,Mwanza,Mwanza,65000,70000,140000,270000,170000,NA,200000,NA,200000,NA,200000,170000,145000,150000,85000,85000
03 DESEMBA, 2021,Njombe,Njombe,50000,50000,200000,250000,NA,NA,NA,NA,NA,NA,200000,NA,175000,280000,50000,60000
03 DESEMBA, 2021,Ruvuma,Songea,29000,30000,160000,200000,NA,NA,NA,NA,NA,NA,NA,NA,160000,180000,75000,78000
03 DESEMBA, 2021,Rukwa,Sumbawanga,45000,40000,120000,140000,NA,NA,NA,NA,145000,160000,NA,NA,140000,180000,55000,70000
03 DESEMBA, 2021,Shinyanga,Shinyanga,46000,44000,140000,130000,120000,130000,120000,130000,130000,120000,120000,130000,180000,190000,80000,85000
03 DESEMBA, 2021,Tabora,Tabora,54000,52000,110000,130000,140000,150000,170000,180000,180000,170000,NA,NA,160000,200000,70000,80000
03 DESEMBA, 2021,Tanga,Tanga,53703,55555,140000,160000,90000,100000,80000,80000,160000,180000,120000,130000,180000,200000,65000,65000
