Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
06 DESEMBA, 2021,Arusha,Arusha (Urban),54000,55000,140000,130000,75000,65000,70000,75000,125000,127000,82000,85000,145000,170000,60000,65000
06 DESEMBA, 2021,D'Salaam,Kinondoni (Tandale),55000,55000,200000,200000,60000,75000,70000,70000,160000,160000,130000,120000,240000,280000,55000,60000
06 DESEMBA, 2021,Dodoma,Majengo,47000,52000,140000,185000,50000,62000,47500,54000,123000,140000,NA,NA,185000,225000,48000,57000
06 DESEMBA, 2021,Dodoma,Kibaigwa,44000,46000,NA,NA,43000,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06 DESEMBA, 2021,Iringa,Iringa,43000,43000,200000,120000,100000,120000,NA,NA,150000,150000,150000,150000,150000,170000,50000,50000
06 DESEMBA, 2021,Kagera,Bukoba,60000,65000,132000,170000,80000,120000,100000,120000,160000,180000,150000,170000,115000,150000,50000,60000
06 DESEMBA, 2021,Katavi,Mpanda,42000,54000,100000,140000,180000,200000,NA,NA,180000,200000,NA,NA,200000,240000,50000,65000
06 DESEMBA, 2021,Kilimanjaro,Moshi,60000,60000,160000,200000,120000,120000,120000,120000,NA,NA,140000,140000,170000,200000,70000,70000
06 DESEMBA, 2021,Lindi,Lindi,70000,100000,200000,135000,150000,200000,300000,300000,150000,300000,160000,160000,200000,200000,100000,100000
06 DESEMBA, 2021,Manyara,Babati,60000,48000,140000,200000,60000,80000,60000,80000,140000,160000,120000,130000,150000,168000,NA,NA
06 DESEMBA, 2021,Mara,Musoma,46875,48830,160000,180000,80000,150000,NA,200000,NA,150000,160000,180000,NA,150000,65000,95000
06 DESEMBA, 2021,Morogoro,Morogoro,45000,45000,150000,170000,65000,80000,NA,NA,NA,NA,NA,NA,NA,NA,80000,70000
06 DESEMBA, 2021,Mtwara,Mtwara,60000,65000,120000,125000,150000,180000,200000,150000,160000,180000,190000,190000,165000,200000,90000,80000
06 DESEMBA, 2021,Mwanza,Mwanza,50000,50000,200000,250000,NA,170000,NA,200000,NA,200000,NA,200000,150000,175000,50000,100000
06 DESEMBA, 2021,Njombe,Njombe,70000,65000,270000,140000,NA,200000,NA,200000,NA,200000,170000,200000,280000,150000,60000,100000
06 DESEMBA, 2021,Ruvuma,Songea,30000,29000,160000,200000,NA,NA,NA,NA,NA,NA,NA,NA,160000,180000,75000,78000
06 DESEMBA, 2021,Rukwa,Sumbawanga,40000,45000,140000,120000,NA,NA,NA,NA,145000,160000,75000,90000,140000,180000,55000,70000
06 DESEMBA, 2021,Shinyanga,Shinyanga,44000,46000,140000,130000,120000,130000,120000,130000,120000,130000,120000,130000,180000,190000,80000,85000
06 DESEMBA, 2021,Tabora,Tabora,54000,52000,130000,110000,140000,150000,170000,180000,170000,180000,NA,NA,160000,200000,70000,80000
06 DESEMBA, 2021,Tanga,Tanga,55555,53703,140000,160000,90000,100000,80000,80000,160000,180000,120000,130000,180000,200000,65000,65000
