Date,Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,Wheat_MinPrice,Wheat_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
2021-12-10,Arusha,Arusha (Urban),61000,65000,130000,200000,60000,75000,70000,75000,128000,160000,85000,130000,145000,240000,65000,NA
2021-12-10,D'Salaam,Kinondoni (Tandale),60000,50000,200000,150000,65000,75000,70000,70000,160000,130000,82000,120000,240000,280000,60000,NA
2021-12-10,Dodoma,Majengo,58000,52000,185000,145000,61000,64000,49500,58000,124000,142000,NA,NA,188000,230000,48500,58000
2021-12-10,Dodoma,Kibaigwa,55000,53000,NA,NA,50000,53000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-12-10,Iringa,Iringa,45000,45000,120000,200000,100000,120000,NA,NA,150000,150000,150000,150000,150000,170000,50000,50000
2021-12-10,Kagera,Bukoba,62000,65000,135000,180000,120000,130000,120000,130000,160000,150000,150000,130000,115000,150000,50000,60000
2021-12-10,Katavi,Mpanda,54000,42000,100000,140000,180000,200000,NA,NA,200000,180000,NA,NA,200000,240000,50000,65000
2021-12-10,Kilimanjaro,Moshi,60000,60000,200000,160000,120000,120000,120000,120000,NA,NA,140000,140000,170000,200000,70000,70000
2021-12-10,Lindi,Lindi,100000,70000,135000,200000,150000,200000,300000,300000,150000,300000,160000,160000,200000,200000,100000,100000
2021-12-10,Manyara,Babati,48000,60000,140000,200000,60000,80000,60000,80000,160000,140000,130000,120000,150000,168000,NA,NA
2021-12-10,Mara,Musoma,65000,60000,120000,125000,60000,150000,180000,150000,NA,NA,150000,150000,NA,NA,195000,190000
2021-12-10,Morogoro,Morogoro,58595,58595,180000,160000,100000,65000,200000,180000,NA,NA,NA,NA,175000,210000,90000,95000
2021-12-10,Mtwara,Mtwara,45000,45000,160000,180000,150000,100000,150000,200000,NA,NA,NA,NA,195000,180000,80000,80000
2021-12-10,Mwanza,Mwanza,65000,70000,270000,140000,170000,NA,200000,NA,200000,NA,200000,NA,200000,150000,280000,65000,70000
2021-12-10,Njombe,Njombe,50000,50000,150000,200000,NA,200000,NA,200000,NA,200000,150000,170000,NA,170000,50500,40000
2021-12-10,Ruvuma,Songea,29000,30000,160000,200000,NA,NA,NA,NA,NA,NA,NA,NA,160000,180000,75000,78000
2021-12-10,Rukwa,Sumbawanga,40000,45000,120000,140000,NA,NA,NA,NA,145000,160000,75000,90000,140000,180000,70000,55000
2021-12-10,Shinyanga,Shinyanga,46000,44000,140000,130000,120000,130000,120000,130000,130000,120000,120000,130000,180000,190000,80000,85000
2021-12-10,Tabora,Tabora,57000,58000,155000,130000,140000,150000,170000,180000,180000,170000,NA,NA,170000,200000,70000,80000
2021-12-10,Tanga,Tanga,53703,55555,160000,140000,90000,100000,80000,80000,160000,180000,120000,130000,180000,200000,65000,65000
