Market,Oil Type,Base Year Price (2019),Price November 2021,Price December 10th 2021,Price Change
Dar - Kariakoo,Sunflower Single refined,4000,6000,5400,-10%
Dar - Kariakoo,Sunflower Double refined,4500,7250,7400,2%
Dar - Kariakoo,Other Palm Oil Refined,3000,5000,5000,0%
Dar - Buguruni,Sunflower Single refined,4000,6000,5000,-17%
Dar - Buguruni,Sunflower Double refined,4500,7000,6500,-7%
Dar - Buguruni,Other Palm Oil Refined,3000,5000,4500,-10%
Dodoma -,Sunflower Filtered,3800,5200,4400,-15%
Dodoma -,Sunflower Double refined,4500,6000,6000,0%
Dodoma -,Other Palm Oil Refined,3500,5000,5000,0%
Tanga - Soko,Sunflower Filtered,3700,6600,6000,-9%
Tanga - Soko,Sunflower Double refined,4500,7100,7000,-1%
Tanga - Soko,Other Palm Oil Refined,3600,5000,5000,0%
Kagera -,Sunflower Filtered,4000,5600,5000,-11%
Kagera -,Sunflower Double refined,4500,6500,6500,0%
Kagera -,Other Palm Oil Refined,3500,4800,4500,-6%
Iringa,Sunflower Filtered,3500,5500,5000,-9%
Iringa -,Sunflower Double refined,4500,7000,6000,-14%
Iringa,Other Palm Oil Refined,3000,5000,4500,-10%
Mwanza,Sunflower Single refined,3700,6400,5600,-13%
Mwanza,Sunflower Double refined,4500,7500,6500,-13%
Mwanza,Other Palm Oil Refined,3500,5000,5000,0%
Mtwara,Sunflower Single refined,3700,6000,7000,17%
Mtwara,Sunflower Double refined,4700,7000,8000,14%
Mtwara,Other Palm Oil Refined,3600,5000,5000,0%
Lindi,Sunflower Single refined,3800,5600,5500,-2%
Lindi,Sunflower Double refined,4800,8500,8000,-6%
Lindi,Other Palm Oil Refined,3600,5000,5000,0%
Mbeya,Sunflower Single refined,3500,5600,5400,-4%
Mbeya,Sunflower Double refined,4500,6800,7000,3%
Mbeya,Other Palm Oil Refined,3500,5000,4500,-10%
Morogoro,Sunflower Single refined,3500,6000,6000,0%
Morogoro,Sunflower Double refined,4500,7000,5000,-29%
Morogoro,Other Palm Oil Refined,3000,5000,4500,-10%
Njombe,Sunflower Filtered,3700,5500,5000,-9%
Njombe,Sunflower Double refined,4700,7000,6500,-7%
Njombe,Other Palm Oil Refined,3600,5000,5000,0%
Rukwa,Sunflower Single refined,3700,5000,5000,0%
Rukwa,Sunflower Double refined,4500,5500,5500,0%
Rukwa,Other Palm Oil Refined,3500,5000,5000,0%
Arusha,Sunflower Single refined,3700,5000,5000,0%
Arusha,Sunflower Double refined,4500,5200,5200,0%
Arusha,Other Palm Oil Refined,3500,4750,4750,0%
Singida,Sunflower Single refined,3200,5000,5000,0%
Singida,Sunflower Double refined,4000,6400,6000,-6%
Singida,Other Palm Oil Refined,3500,5000,5000,0%
Shinyanga,Sunflower Single refined,3700,5000,5000,0%
Shinyanga,Sunflower Double refined,4500,6000,5400,-10%
Shinyanga,Other Palm Oil Refined,3500,5000,5000,0%
Manyara,Sunflower Single refined,3500,5000,5000,0%
Manyara,Sunflower Double refined,4500,6000,6000,0%
Manyara,Other Palm Oil Refined,3000,5000,4500,-10%
Tabora,Sunflower Single refined,4000,5500,5500,0%
Tabora,Sunflower Double refined,4500,6000,6000,0%
Tabora,Other Palm Oil Refined,3200,5050,5000,-1%
Moshi-,Sunflower Single refined,3500,5600,5400,-4%
Moshi-,Sunflower Double refined,4500,6000,5600,-7%
Moshi-,Other Palm Oil Refined,3000,5000,5300,6%
Songea,Sunflower Single refined,3700,5500,5000,-9%
Songea,Sunflower Double refined,4700,6000,5500,-8%
Songea,Other Palm Oil Refined,3600,5000,5000,0%
Mara,Sunflower Single refined,3700,5600,5500,-2%
Mara,Sunflower Double refined,4700,6400,6000,-6%
Mara,Other Palm Oil Refined,3500,4800,4800,0%
Kigoma,Sunflower Single refined,4000,6500,6000,-8%
Kigoma,Sunflower Double refined,4900,8500,6600,-22%
Kigoma,Other Palm Oil Refined,3200,5000,5000,0%
MKOA,Previous Week Price,Current Week Price,Price change
Arusha,2750,2750,0%
Dodoma,2800,2800,0%
D'Salaam- Kinondon,2650,2700,2%
Manyara,2750,2800,2%
Morogoro,2850,2900,2%
Mwanza,2650,2750,4%
Njombe,2790,2800,0%
Ruvuma,2750,2790,1%
Tabora,2700,2700,0%
Tanga,2750,2750,0%
