Year,Month,Region,District/Market,Crop Name,Min Price,Max Price,Average Price
2021,November,Arusha,Arusha (Urban),Beans (Maharage),138750,168333,153542
2021,November,Dodoma,Kibaigwa,Beans (Maharage),185000,212500,198750
2021,November,Dodoma,Majengo,Beans (Maharage),184167,217083,198958
2021,November,D'Salaam,Kinondoni (Tandale),Beans (Maharage),200000,240000,220000
2021,November,D'Salaam,Temeke (Tandika),Beans (Maharage),190000,240000,215000
2021,November,Iringa,Iringa,Beans (Maharage),150000,158333,154167
2021,November,Kagera,Bukoba,Beans (Maharage),117083,150000,133542
2021,November,Katavi,Mpanda,Beans (Maharage),160000,200000,180000
2021,November,Kigoma,Kigoma,Beans (Maharage),130909,131818,131364
2021,November,Kilimanjaro,Moshi,Beans (Maharage),161667,200000,180833
2021,November,Lindi,Lindi,Beans (Maharage),186667,227778,207222
2021,November,Manyara,Babati,Beans (Maharage),150000,166500,158250
2021,November,Mara,Musoma,Beans (Maharage),188333,200000,194167
2021,November,Morogoro,Morogoro,Beans (Maharage),183333,186667,185000
2021,November,Mtwara,Mtwara,Beans (Maharage),165000,170000,167500
2021,November,Mwanza,Mwanza,Beans (Maharage),178333,240000,209167
2021,November,Njombe,Njombe,Beans (Maharage),150000,200000,175000
2021,November,Rukwa,Sumbawanga,Beans (Maharage),139583,175833,157708
2021,November,Ruvuma,Songea,Beans (Maharage),151000,161000,156000
2021,November,Shinyanga,Shinyanga,Beans (Maharage),176667,186667,181667
2021,November,Tabora,Tabora,Beans (Maharage),161667,191667,176667
2021,November,Tanga,Tanga,Beans (Maharage),175000,190000,182500
2021,November,Arusha,Arusha (Urban),Bulrush Millet (Uwele),67917,71167,69542
2021,November,Dodoma,Majengo,Bulrush Millet (Uwele),45500,50833,48167
2021,November,D'Salaam,Kinondoni (Tandale),Bulrush Millet (Uwele),70000,70000,70000
2021,November,D'Salaam,Temeke (Tandika),Bulrush Millet (Uwele),80000,100000,90000
2021,November,Kagera,Bukoba,Bulrush Millet (Uwele),100000,120000,110000
2021,November,Kigoma,Kigoma,Bulrush Millet (Uwele),63636,75455,69545
2021,November,Kilimanjaro,Moshi,Bulrush Millet (Uwele),120000,126667,123333
2021,November,Lindi,Lindi,Bulrush Millet (Uwele),200000,250000,225000
2021,November,Manyara,Babati,Bulrush Millet (Uwele),65000,85000,75000
2021,November,Mara,Musoma,Bulrush Millet (Uwele),180000,200000,190000
2021,November,Morogoro,Morogoro,Bulrush Millet (Uwele),135000,135000,135000
2021,November,Mwanza,Mwanza,Bulrush Millet (Uwele),186667,200000,193333
2021,November,Shinyanga,Shinyanga,Bulrush Millet (Uwele),120000,130000,125000
2021,November,Tabora,Tabora,Bulrush Millet (Uwele),170000,180000,175000
2021,November,Tanga,Tanga,Bulrush Millet (Uwele),95000,95000,95000
2021,November,Arusha,Arusha (Urban),Finger Millet (Ulezi),128750,132000,130375
2021,November,Dodoma,Majengo,Finger Millet (Ulezi),120375,139417,129896
2021,November,D'Salaam,Kinondoni (Tandale),Finger Millet (Ulezi),160000,160000,160000
2021,November,D'Salaam,Temeke (Tandika),Finger Millet (Ulezi),152500,180000,166250
2021,November,Iringa,Iringa,Finger Millet (Ulezi),148333,148333,148333
2021,November,Kagera,Bukoba,Finger Millet (Ulezi),160000,180000,170000
2021,November,Katavi,Mpanda,Finger Millet (Ulezi),180000,200000,190000
2021,November,Kigoma,Kigoma,Finger Millet (Ulezi),177273,177273,177273
