Date,Region,District_Market,Maize_Min_Price,Maize_Max_Price,Rice_Min_Price,Rice_Max_Price,Sorghum_Min_Price,Sorghum_Max_Price,BulrushMillet_Min_Price,BulrushMillet_Max_Price,FingerMillet_Min_Price,FingerMillet_Max_Price,Wheat_Min_Price,Wheat_Max_Price,Beans_Min_Price,Beans_Max_Price,IrishPotatoes_Min_Price,IrishPotatoes_Max_Price
15 DESEMBA, 2021,Arusha,Arusha (Urban),60000,63000,130000,200000,58000,75000,70000,75000,128000,130000,60000,65000,145000,240000,60000,
15 DESEMBA, 2021,D'Salaam,Kinondoni (Tandale),62000,65000,150000,200000,60000,75000,70000,70000,160000,160000,55000,60000,170000,280000,
15 DESEMBA, 2021,Dodoma,Majengo,53000,58000,190000,145500,60000,64000,49500,58000,125000,140000,NA,NA,188000,232000,48600,58000
15 DESEMBA, 2021,Dodoma,Kibaigwa,53000,55000,NA,120000,50000,53000,NA,NA,NA,NA,NA,150000,NA,NA,NA,
15 DESEMBA, 2021,Iringa,Iringa,50000,52000,NA,200000,100000,120000,NA,NA,NA,NA,150000,NA,150000,NA,50000,
15 DESEMBA, 2021,Kagera,Bukoba,65000,72000,180000,140000,90000,110000,100000,120000,170000,160000,150000,140000,110000,140000,55000,60000
15 DESEMBA, 2021,Katavi,Mpanda,42000,54000,150000,140000,180000,200000,NA,NA,200000,180000,NA,NA,200000,240000,50000,65000
15 DESEMBA, 2021,Kilimanjaro,Moshi,60000,60000,200000,160000,120000,120000,120000,120000,NA,NA,140000,140000,170000,200000,70000,70000
15 DESEMBA, 2021,Lindi,Lindi,70000,100000,135000,200000,150000,200000,300000,300000,200000,150000,160000,160000,200000,200000,100000,100000
15 DESEMBA, 2021,Manyara,Babati,48000,60000,200000,150000,60000,80000,60000,80000,160000,140000,130000,120000,150000,168000,100000,100000
15 DESEMBA, 2021,Mara,Musoma,60000,65000,125000,120000,60000,65000,180000,200000,200000,180000,NA,NA,195000,210000,90000,95000
15 DESEMBA, 2021,Kigoma,Kigoma,61000,62000,158000,180000,100000,100000,100000,100000,180000,180000,170000,170000,100000,120000,60000,70000
15 DESEMBA, 2021,Morogoro,Morogoro,58595,58595,160000,160000,150000,150000,150000,150000,160000,160000,150000,150000,190000,195000,80000,80000
15 DESEMBA, 2021,Mtwara,Mtwara,45000,45000,160000,180000,100000,100000,NA,NA,180000,180000,NA,NA,175000,180000,65000,75000
15 DESEMBA, 2021,Mwanza,Mwanza,65000,70000,270000,150000,170000,200000,200000,200000,200000,200000,NA,NA,180000,175000,100000,100000
15 DESEMBA, 2021,Njombe,Njombe,50000,50000,140000,200000,NA,NA,NA,NA,NA,NA,NA,NA,170000,150000,40000,50500
15 DESEMBA, 2021,Ruvuma,Songea,45000,50000,160000,200000,NA,NA,NA,NA,NA,NA,NA,NA,155000,170000,75000,75000
15 DESEMBA, 2021,Rukwa,Sumbawanga,40000,45000,120000,140000,NA,NA,NA,NA,145000,160000,75000,90000,140000,180000,55000,70000
15 DESEMBA, 2021,Shinyanga,Shinyanga,44000,46000,130000,140000,120000,130000,120000,130000,120000,130000,120000,130000,180000,190000,80000,85000
15 DESEMBA, 2021,Tabora,Tabora,57000,58000,155000,130000,140000,150000,170000,180000,170000,180000,NA,NA,170000,200000,70000,80000
15 DESEMBA, 2021,Tanga,Tanga,53703,55555,160000,140000,90000,100000,80000,80000,160000,180000,120000,130000,180000,200000,65000,65000
