Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha (Urban),64000,65000,150000,200000,58000,60000,70000,75000,128000,130000,85000,82000,145000,170000,60000,65000
D'Salaam,Kinondoni (Tandale),63000,65000,150000,200000,75000,75000,70000,70000,160000,160000,120000,130000,240000,280000,55000,60000
Dodoma,Majengo,53000,58000,190000,145500,60000,64000,49500,58000,125000,140000,NA,NA,188000,232000,48600,58000
Dodoma,Kibaigwa,53000,55000,NA,NA,50000,52000,NA,NA,NA,NA,NA,NA,150000,150000,NA,NA
Iringa,Iringa,NA,NA,155000,200000,50000,100000,53000,120000,NA,NA,NA,NA,150000,150000,NA,NA
Kagera,Bukoba,65000,72000,180000,140000,90000,110000,100000,120000,170000,160000,150000,140000,110000,140000,55000,60000
Katavi,Mpanda,42000,54000,150000,140000,180000,200000,NA,NA,180000,200000,NA,NA,200000,240000,50000,65000
Kilimanjaro,Moshi,60000,60000,160000,200000,120000,120000,120000,120000,NA,NA,140000,140000,170000,200000,70000,70000
Lindi,Lindi,70000,100000,135000,200000,150000,200000,300000,300000,200000,150000,160000,160000,200000,200000,100000,100000
Manyara,Babati,48000,60000,150000,200000,60000,80000,60000,80000,160000,140000,130000,120000,150000,168000,100000,100000
Mara,Musoma,60000,65000,125000,120000,60000,65000,180000,200000,200000,180000,NA,NA,195000,210000,90000,95000
Kigoma,Kigoma,61000,62000,158000,160000,100000,100000,100000,100000,180000,180000,170000,170000,100000,190000,60000,80000
Morogoro,Morogoro,58595,58595,160000,180000,150000,150000,150000,150000,160000,160000,150000,150000,120000,195000,70000,80000
Mtwara,Mtwara,45000,45000,160000,180000,120000,120000,NA,NA,180000,180000,NA,NA,175000,180000,65000,75000
Mwanza,Mwanza,73000,75000,140000,150000,170000,200000,200000,200000,200000,200000,180000,180000,280000,280000,90000,90000
Njombe,Njombe,50000,50000,270000,200000,NA,NA,NA,NA,NA,NA,170000,150000,200000,200000,40000,50500
Ruvuma,Songea,45000,50000,200000,160000,NA,NA,NA,NA,NA,NA,NA,NA,155000,170000,75000,75000
Rukwa,Sumbawanga,40000,45000,120000,140000,NA,NA,NA,NA,145000,160000,75000,90000,140000,180000,55000,70000
Shinyanga,Shinyanga,45000,46000,140000,160000,120000,130000,120000,130000,120000,130000,120000,130000,180000,190000,80000,85000
Tabora,Tabora,57000,58000,155000,130000,140000,150000,170000,180000,180000,170000,NA,NA,170000,200000,70000,80000
Tanga,Tanga,53703,55555,160000,140000,90000,100000,80000,80000,160000,180000,130000,120000,180000,200000,65000,65000
