Date,Region,District / Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2021-12-22,Arusha,Arusha (Urban),65000,65000,180000,230000,58000,60000,70000,70000,130000,160000,85000,130000,145000,200000,70000,75000
2021-12-22,D'Salaam,Kinondoni (Tandale),63000,65000,230000,150000,60000,70000,70000,75000,160000,128000,82000,130000,200000,240000,60000,65000
2021-12-22,Dodoma,Majengo,55000,62000,190000,148000,51500,65000,50500,58000,135000,145000,NA,NA,185000,230000,50500,64000
2021-12-22,Dodoma,Kibaigwa,58000,59500,NA,NA,50000,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-12-22,Iringa,Iringa,55000,68000,155000,200000,100000,120000,NA,150000,150000,150000,60000,60000,150000,110000,55000,60000
2021-12-22,Kagera,Bukoba,60000,72000,150000,180000,90000,110000,100000,120000,160000,170000,60000,55000,150000,140000,60000,60000
2021-12-22,Katavi,Mpanda,42000,54000,140000,150000,180000,200000,NA,NA,180000,200000,NA,NA,200000,240000,50000,65000
2021-12-22,Kilimanjaro,Moshi,60000,60000,160000,200000,120000,120000,120000,120000,NA,NA,140000,140000,170000,200000,70000,70000
2021-12-22,Lindi,Lindi,80000,100000,150000,200000,150000,200000,160000,200000,180000,250000,160000,180000,200000,250000,100000,100000
2021-12-22,Manyara,Babati,52000,66000,200000,150000,60000,80000,60000,80000,160000,140000,130000,120000,150000,168000,80000,100000
2021-12-22,Mara,Musoma,60000,65000,150000,130000,60000,65000,180000,200000,180000,200000,NA,NA,195000,210000,90000,95000
2021-12-22,Kigoma,Kigoma,61000,62000,158000,160000,100000,100000,100000,100000,180000,180000,150000,150000,100000,120000,60000,70000
2021-12-22,Morogoro,Morogoro,62500,62500,160000,160000,150000,150000,150000,150000,160000,180000,180000,180000,180000,180000,81000,81000
2021-12-22,Mtwara,Mtwara,45000,45000,190000,150000,120000,NA,NA,NA,150000,200000,200000,175000,175000,195000,65000,75000
2021-12-22,Mwanza,Mwanza,73000,75000,180000,270000,170000,200000,200000,200000,NA,NA,180000,260000,180000,90000,90000
2021-12-22,Njombe,Njombe,50000,50000,150000,200000,NA,NA,NA,NA,NA,NA,150000,170000,200000,170000,40000,50500
2021-12-22,Ruvuma,Songea,50000,55000,200000,160000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75000,75000
2021-12-22,Rukwa,Sumbawanga,40000,45000,120000,150000,NA,NA,NA,NA,145000,160000,75000,90000,140000,180000,55000,70000
2021-12-22,Shinyanga,Shinyanga,45000,46000,140000,160000,120000,130000,120000,130000,120000,130000,120000,130000,180000,190000,80000,85000
2021-12-22,Tabora,Tabora,57000,58000,155000,140000,140000,150000,170000,180000,170000,180000,NA,NA,170000,200000,70000,80000
2021-12-22,Tanga,Tanga,66666,66666,190000,160000,90000,100000,80000,80000,160000,180000,130000,120000,175000,180000,70000,70000
