Region / Mkoa,District / Market,Maize (Mahindi) Min Price,Maize (Mahindi) Max Price,Rice (Mchele) Min Price,Rice (Mchele) Max Price,Sorghum (Mtama) Min Price,Sorghum (Mtama) Max Price,Bulrush Millet (Uwele) Min Price,Bulrush Millet (Uwele) Max Price,Millet (Ulezi) Min Price,Millet (Ulezi) Max Price,Finger Wheat (Ngano Punje) Min Price,Finger Wheat (Ngano Punje) Max Price,Beans (Maharage) Min Price,Beans (Maharage) Max Price,Irish Potatoes (Viazi Mviringo) Min Price,Irish Potatoes (Viazi Mviringo) Max Price
Arusha,Arusha (Urban),65000,66000,180000,230000,58000,60000,70000,75000,128000,130000,85000,100000,150000,180000,90000,80000
D'Salaam,Kinondoni (Tandale),66000,66000,150000,220000,60000,70000,70000,75000,160000,160000,135500,145500,130000,NA,200000,185000
Dodoma,Majengo,60000,63000,220000,200000,60000,66000,50000,57000,NA,130000,NA,NA,240000,235000,75000,81250
Dodoma,Kibaigwa,59000,61000,180000,220000,50000,60000,NA,NA,NA,NA,NA,NA,180000,200000,NA,NA
Iringa,Iringa,55000,60000,160000,200000,100000,120000,NA,NA,150000,150000,150000,150000,150000,170000,75000,75000
Kagera,Bukoba,68000,72000,180000,150000,90000,110000,100000,120000,170000,160000,140000,140000,110000,140000,68750,75000
Katavi,Mpanda,62000,66000,150000,160000,180000,200000,NA,120000,180000,200000,140000,140000,200000,170000,62500,75000
Kilimanjaro,Moshi,60000,60000,200000,120000,120000,120000,NA,NA,NA,NA,NA,NA,240000,200000,70000,70000
Lindi,Lindi,80000,100000,200000,160000,150000,200000,160000,200000,180000,250000,160000,180000,200000,250000,100000,100000
Manyara,Babati,60000,72000,200000,150000,60000,80000,60000,80000,140000,160000,120000,130000,150000,168000,90000,90000
Kigoma,Kigoma,61000,64000,160000,158000,80000,100000,100000,100000,150000,150000,150000,150000,130000,140000,75000,87500
Morogoro,Morogoro,66604,66604,180000,170000,150000,150000,150000,150000,160000,160000,150000,150000,190000,195000,80000,80000
Mtwara,Mtwara Dc,68000,68000,180000,160000,NA,NA,NA,NA,180000,180000,NA,NA,180000,190000,75000,70000
Mwanza,Mwanza,77000,80000,160000,250000,170000,200000,200000,200000,200000,200000,NA,NA,180000,260000,100000,100000
Njombe,Njombe,50000,60000,150000,200000,NA,NA,NA,NA,150000,170000,170000,180000,150000,200000,63125,50000
Ruvuma,Songea,50000,60000,200000,160000,NA,NA,NA,NA,NA,NA,NA,NA,155000,170000,75000,75000
Tanga,Tanga,67992,68518,150000,180000,90000,100000,80000,80000,180000,160000,120000,120000,175000,180000,80000,80000
