Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha (Urban),64000,65000,170000,230000,58000,60000,70000,75000,128000,130000,82000,85000,145000,170000,90000,80000
D'Salaam,Kinondoni (Tandale),66000,66000,150000,220000,70000,60000,70000,75000,160000,160000,130000,130000,200000,240000,75000,81250
Dodoma,Majengo,57000,63000,190000,148000,68000,60000,50000,58000,135800,145800,NA,NA,190000,235000,50500,67800
Dodoma,Kibaigwa,59000,61000,180000,220000,60000,50000,NA,NA,NA,NA,NA,NA,180000,200000,NA,NA
Iringa,Iringa,55000,60000,160000,200000,120000,100000,NA,NA,150000,150000,150000,150000,150000,170000,75000,75000
Kagera,Bukoba,68000,72000,150000,180000,90000,110000,100000,120000,170000,160000,140000,150000,120000,150000,55000,65000
Katavi,Mpanda,62000,66000,150000,200000,120000,NA,NA,NA,200000,NA,NA,NA,140000,200000,62500,75000
Kilimanjaro,Moshi,60000,60000,160000,200000,120000,120000,NA,120000,NA,180000,NA,140000,170000,240000,70000,70000
Lindi,Lindi,80000,100000,160000,200000,150000,200000,160000,200000,250000,180000,160000,180000,200000,250000,100000,100000
Manyara,Babati,60000,72000,150000,200000,60000,80000,60000,80000,140000,160000,120000,130000,150000,168000,90000,90000
Kigoma,Kigoma,61000,64000,160000,158000,80000,100000,100000,100000,150000,150000,150000,150000,130000,140000,75000,87500
Morogoro,Morogoro,66604,66604,180000,170000,150000,150000,150000,150000,160000,160000,150000,150000,190000,195000,80000,80000
Mtwara,Mtwara Dc,68000,68000,160000,180000,NA,NA,NA,NA,180000,180000,NA,NA,180000,190000,75000,70000
Mwanza,Mwanza,77000,80000,160000,250000,200000,170000,200000,200000,200000,200000,NA,NA,180000,260000,100000,100000
Njombe,Njombe,50000,60000,150000,200000,NA,NA,NA,NA,150000,170000,170000,180000,150000,200000,63125,50000
Ruvuma,Songea,50000,55000,200000,160000,NA,NA,NA,NA,NA,NA,NA,NA,180000,200000,75000,80000
Tanga,Tanga,67992,68518,150000,180000,90000,100000,80000,80000,160000,180000,120000,120000,175000,180000,80000,80000
