Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
17 JANUARI, 2022,Arusha,Arusha (Urban),64000,65000,180000,230000,55000,60000,72000,75000,130000,132000,82000,85000,160000,190000,95000,100000
17 JANUARI, 2022,D'Salaam,Kinondoni (Tandale),65000,65000,160000,200000,80000,80000,80000,80000,170000,170000,150000,150000,200000,240000,80000,75000
17 JANUARI, 2022,Dodoma,Majengo,58000,62000,145000,190000,60000,67000,50000,58000,135000,145000,NA,NA,190000,230000,66000,50000
17 JANUARI, 2022,Dodoma,Kibaigwa,65000,65000,180000,220000,50000,60000,NA,NA,NA,NA,NA,NA,180000,250000,NA,NA
17 JANUARI, 2022,Iringa,Iringa,55000,60000,160000,200000,100000,120000,NA,NA,150000,150000,150000,150000,150000,170000,75000,75000
17 JANUARI, 2022,Kagera,Bukoba,68000,72000,150000,180000,90000,110000,100000,120000,160000,170000,140000,150000,120000,150000,65000,55000
17 JANUARI, 2022,Katavi,Mpanda,62000,66000,150000,150000,180000,200000,NA,NA,180000,200000,NA,NA,200000,240000,62500,75000
17 JANUARI, 2022,Kilimanjaro,Moshi,60000,60000,160000,200000,120000,120000,120000,120000,NA,NA,140000,140000,170000,200000,70000,70000
17 JANUARI, 2022,Lindi,Lindi,80000,100000,160000,200000,150000,200000,160000,200000,180000,250000,160000,180000,200000,250000,100000,100000
17 JANUARI, 2022,Manyara,Babati,60000,72000,160000,200000,60000,80000,60000,80000,140000,160000,120000,130000,150000,168000,90000,90000
17 JANUARI, 2022,Kigoma,Kigoma,61000,64000,158000,160000,80000,100000,100000,100000,150000,150000,150000,150000,130000,140000,75000,87500
17 JANUARI, 2022,Morogoro,Morogoro,100000,150000,150000,230000,150000,150000,150000,150000,180000,200000,150000,150000,190000,195000,80000,80000
17 JANUARI, 2022,Mtwara,Mtwara Dc,68000,80000,160000,250000,NA,200000,NA,NA,NA,NA,NA,NA,170000,180000,180000,200000
17 JANUARI, 2022,Mwanza,Mwanza,77000,56000,160000,250000,170000,NA,NA,200000,NA,NA,NA,NA,200000,NA,NA,150000
17 JANUARI, 2022,Njombe,Njombe,56000,50000,200000,170000,NA,NA,NA,170000,NA,NA,NA,NA,180000,NA,NA,.......
17 JANUARI, 2022,Songea,Ruvuma,60000,68000,180000,200000,180000,190000,200000,150000,170000,180000,260000,200000,200000,70000,75000,
17 JANUARI, 2022,Tanga,Tanga,67592,68518,160000,180000,90000,100000,80000,80000,160000,180000,120000,130000,170000,180000,90000,90000
