Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2022-01-19,Arusha,Arusha (Urban),63000,64000,180000,230000,65000,70000,70000,72000,135000,130000,90000,85000,200000,160000,95000,100000
2022-01-19,D'Salaam,Kinondoni (Tandale),65000,80000,180000,260000,100000,100000,70000,70000,170000,170000,150000,150000,190000,240000,90000,85000
2022-01-19,Dodoma,Majengo,58000,62000,190000,145000,67000,60000,50000,58000,135000,145000,NA,NA,190000,230000,66000,50000
2022-01-19,Dodoma,Kibaigwa,65000,65000,180000,220000,60000,50000,NA,NA,NA,NA,NA,NA,250000,180000,NA,NA
2022-01-19,Iringa,Iringa,55000,60000,160000,200000,120000,100000,NA,NA,150000,150000,150000,150000,150000,170000,75000,75000
2022-01-19,Kagera,Bukoba,68000,72000,150000,150000,90000,100000,160000,170000,140000,NA,150000,200000,55000,62500
2022-01-19,Katavi,Mpanda,62000,66000,180000,150000,110000,200000,200000,180000,150000,120000,NA,240000,65000,75000
2022-01-19,Kilimanjaro,Moshi,60000,60000,200000,160000,120000,120000,NA,NA,140000,180000,70000,100000
2022-01-19,Lindi,Lindi,80000,100000,160000,200000,150000,200000,180000,250000,160000,170000,70000,100000
2022-01-19,Manyara,Babati,65000,72000,200000,160000,60000,80000,60000,80000,160000,140000,130000,120000,162000,180000,90000,90000
2022-01-19,Kigoma,Kigoma,61000,64000,160000,158000,80000,100000,100000,100000,150000,150000,150000,150000,130000,140000,75000,87500
2022-01-19,Morogoro,Morogoro,100000,150000,150000,230000,150000,150000,150000,150000,200000,180000,150000,150000,190000,195000,80000,80000
2022-01-19,Mtwara,Mtwara Dc,68000,68000,180000,160000,NA,NA,NA,NA,180000,180000,NA,NA,190000,170000,75000,70000
2022-01-19,Mwanza,Mwanza,77000,80000,160000,250000,200000,170000,200000,NA,200000,170000,NA,NA,180000,170000,100000,46000
2022-01-19,Njombe,Njombe,56000,56000,250000,200000,NA,NA,NA,NA,NA,NA,200000,260000,150000,200000,100000,50500
2022-01-19,Ruvuma,Songea,50000,60000,200000,170000,NA,NA,NA,NA,NA,NA,120000,180000,180000,180000,80000,90000
2022-01-19,Tanga,Tanga,70370,68518,200000,170000,90000,100000,80000,80000,160000,NA,NA,NA,130000,200000,80000,90000
