Date,Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
21 JANUARI, 2022,Arusha,Arusha (Urban),63000,64000,180000,230000,65000,70000,70000,72000,135000,130000,90000,85000,160000,200000,95000,100000
21 JANUARI, 2022,D'Salaam,Kinondoni (Tandale),65000,80000,180000,260000,100000,100000,70000,70000,170000,170000,190000,240000,90000,50000,NA,NA
21 JANUARI, 2022,Dodoma,Majengo,58000,62000,190000,145000,60000,67000,50000,58000,145000,135000,190000,230000,85000,66000,190000,240000
21 JANUARI, 2022,Dodoma,Kibaigwa,65000,65000,180000,220000,50000,60000,NA,NA,NA,NA,NA,NA,180000,250000,NA,NA
21 JANUARI, 2022,Iringa,Iringa,55000,60000,160000,200000,100000,120000,NA,NA,150000,150000,150000,150000,150000,170000,75000,75000
21 JANUARI, 2022,Kagera,Bukoba,68000,72000,180000,150000,90000,110000,100000,120000,170000,160000,150000,140000,120000,150000,55000,65000
21 JANUARI, 2022,Katavi,Mpanda,62000,66000,150000,150000,180000,200000,NA,NA,180000,200000,NA,NA,200000,240000,62500,75000
21 JANUARI, 2022,Kilimanjaro,Moshi,60000,60000,160000,200000,120000,120000,120000,120000,NA,NA,140000,140000,170000,200000,70000,70000
21 JANUARI, 2022,Lindi,Lindi,80000,100000,160000,200000,150000,200000,160000,200000,180000,250000,180000,160000,200000,250000,100000,100000
21 JANUARI, 2022,Manyara,Babati,65000,72000,200000,160000,80000,100000,80000,100000,160000,150000,160000,180000,162000,180000,100000,100000
21 JANUARI, 2022,Kigoma,Kigoma,61000,64000,160000,158000,80000,100000,100000,100000,150000,150000,150000,150000,130000,140000,75000,87500
21 JANUARI, 2022,Morogoro,Morogoro,100000,150000,150000,230000,150000,150000,150000,150000,180000,200000,150000,150000,190000,195000,80000,80000
21 JANUARI, 2022,Mtwara,Mtwara Dc,64000,77000,180000,200000,NA,NA,NA,NA,180000,180000,NA,NA,NA,NA,65000,70000
21 JANUARI, 2022,Mwanza,Mwanza,65000,80000,160000,250000,170000,200000,200000,200000,180000,200000,NA,NA,185000,190000,100000,100000
21 JANUARI, 2022,Njombe,Njombe,56000,56000,200000,250000,NA,NA,NA,NA,150000,170000,180000,170000,150000,200000,50500,46000
21 JANUARI, 2022,Ruvuma,Songea,50000,60000,200000,170000,NA,NA,NA,NA,NA,NA,NA,NA,180000,200000,80000,80000
21 JANUARI, 2022,Tanga,Tanga,70370,68518,200000,170000,90000,100000,80000,80000,180000,160000,120000,130000,170000,180000,90000,90000
