Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2022-02-28,Arusha,Arusha (Urban),56000,58000,180000,230000,58000,60000,65000,70000,135000,137000,100000,120000,140000,200000,90000,85000
2022-02-28,D'Salaam,Kinondoni (Tandale),60000,100000,250000,170000,110000,120000,80000,80000,170000,180000,170000,180000,200000,240000,60000,65000
2022-02-28,Dodoma,Majengo,49000,55000,198000,175000,78000,80000,65000,70000,135000,140000,NA,NA,175000,198000,78000,110000
2022-02-28,Dodoma,Kibaigwa,50500,50500,180000,210000,62000,70000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-02-28,Iringa,Iringa,45000,50000,180000,210000,100000,120000,NA,NA,150000,150000,150000,150000,180000,200000,75000,70000
2022-02-28,Kagera,Bukoba,57000,60000,180000,150000,120000,140000,120000,140000,130000,150000,130000,140000,100000,180000,55000,70000
2022-02-28,Katavi,Mpanda,62000,66000,150000,150000,180000,200000,NA,NA,180000,200000,NA,NA,200000,240000,75000,75000
2022-02-28,Kilimanjaro,Moshi,60000,75000,160000,200000,120000,120000,120000,120000,NA,140000,140000,170000,200000,70000,70000
2022-02-28,Lindi,Lindi,70000,70000,210000,160000,150000,200000,NA,NA,200000,200000,NA,NA,200000,200000,90000,90000
2022-02-28,Manyara,Babati,54000,66000,200000,170000,80000,100000,80000,100000,150000,160000,160000,180000,150000,168000,110000,110000
2022-02-28,Kigoma,Kigoma,55000,66000,150000,170000,100000,100000,100000,100000,150000,150000,150000,150000,120000,130000,100000,100000
2022-02-28,Morogoro,Morogoro,58600,58600,170000,180000,160000,160000,160000,160000,160000,170000,160000,160000,180000,180000,86000,86000
2022-02-28,Mtwara,Mtwara Dc,55000,55000,200000,180000,NA,NA,NA,180000,180000,NA,NA,190000,200000,NA,NA
2022-02-28,Mwanza,Mwanza,75000,80000,250000,160000,150000,200000,170000,180000,180000,200000,NA,NA,155000,250000,100000,100000
2022-02-28,Njombe,Njombe,60000,60000,200000,250000,NA,NA,NA,150000,175000,180000,180000,150000,220000,60000,60000
2022-02-28,Rukwa,Sumbawanga,52000,55000,160000,180000,NA,NA,NA,NA,NA,NA,175000,180000,70000,70000
2022-02-28,Tanga,Tanga,60000,62000,180000,200000,90000,100000,100000,120000,160000,180000,120000,130000,180000,190000,100000,80000
