Date,Region,District/Market,Maize_Min_Price,Maize_Max_Price,Rice_Min_Price,Rice_Max_Price,Sorghum_Min_Price,Sorghum_Max_Price,Bulrush_Millet_Min_Price,Bulrush_Millet_Max_Price,Finger_Millet_Min_Price,Finger_Millet_Max_Price,Wheat_Min_Price,Wheat_Max_Price,Beans_Min_Price,Beans_Max_Price,Irish_Potatoes_Min_Price,Irish_Potatoes_Max_Price
07 MACHI, 2022,Arusha,Arusha (Urban),58000,60000,230000,180000,58000,60000,65000,70000,137000,138000,100000,120000,140000,200000,90000,85000
07 MACHI, 2022,D'Salaam,Kinondoni (Tandale),58000,100000,180000,250000,100000,120000,80000,80000,170000,170000,160000,180000,220000,250000,65000,58000
07 MACHI, 2022,Dodoma,Majengo,50000,55000,198000,175000,75000,80000,64000,70000,135000,141000,NA,NA,175000,198000,78000,110000
07 MACHI, 2022,Dodoma,Kibaigwa,52000,52000,180000,180000,60000,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07 MACHI, 2022,Iringa,Iringa,45000,50000,180000,210000,100000,120000,NA,NA,150000,150000,150000,150000,180000,200000,70000,75000
07 MACHI, 2022,Kagera,Bukoba,57000,60000,180000,150000,120000,140000,120000,140000,130000,150000,130000,140000,100000,180000,55000,70000
07 MACHI, 2022,Katavi,Mpanda,62000,66000,150000,150000,180000,200000,NA,NA,180000,200000,NA,NA,200000,240000,75000,75000
07 MACHI, 2022,Kilimanjaro,Moshi,60000,75000,200000,160000,120000,120000,120000,120000,NA,NA,140000,140000,170000,200000,70000,70000
07 MACHI, 2022,Lindi,Lindi,70000,70000,155000,210000,150000,200000,NA,NA,200000,200000,NA,NA,200000,200000,100000,100000
07 MACHI, 2022,Manyara,Babati,54000,66000,200000,180000,80000,100000,80000,100000,150000,160000,160000,180000,150000,168000,100000,100000
07 MACHI, 2022,Kigoma,Kigoma,56000,66000,160000,180000,80000,100000,100000,וייויוו,150000,180000,200000,160000,180000,100000,120000,110000,100000
07 MACHI, 2022,Morogoro,Morogoro,56000,57815,180000,200000,170000,180000,170000,180000,170000,175000,170000,170000,190000,230000,96000,100000
07 MACHI, 2022,Mtwara,Mtwara Dc,55000,55000,180000,200000,NA,NA,NA,180000,180000,NA,NA,190000,200000,NA,NA
07 MACHI, 2022,Mwanza,Mwanza,70000,70000,200000,155000,150000,200000,180000,180000,180000,180000,NA,NA,150000,230000,85000,85000
07 MACHI, 2022,Njombe,Njombe,60000,60000,250000,200000,NA,NA,NA,150000,175000,180000,180000,150000,220000,60000,60000
07 MACHI, 2022,Rukwa,Sumbawanga,52000,55000,180000,160000,NA,NA,NA,NA,NA,NA,NA,175000,180000,70000,70000
07 MACHI, 2022,Tanga,Tanga,60000,62000,180000,200000,90000,100000,100000,120000,160000,180000,120000,130000,180000,190000,100000,80000
