Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Millet Max Price,Finger Wheat Min Price,Finger Wheat Max Price,Beans Min Price,Beans Max Price,Potatoes Min Price,Potatoes Max Price
Arusha,Arusha (Urban),58000,60000,180000,230000,58000,60000,65000,70000,138000,137000,100000,120000,140000,200000,90000,85000
D'Salaam,Kinondoni (Tandale),55000,100000,170000,240000,100000,120000,80000,80000,170000,170000,160000,200000,220000,240000,50000,55000
Dodoma,Majengo,50000,55000,175000,198000,75000,80000,64000,70000,135000,141000,NA,NA,175000,198000,78000,110000
Dodoma,Kibaigwa,52000,52000,180000,180000,60000,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iringa,Iringa,45000,50000,180000,240000,100000,120000,NA,NA,150000,150000,150000,150000,180000,200000,75000,70000
Kagera,Bukoba,55000,58000,150000,185000,120000,140000,120000,140000,130000,150000,130000,140000,120000,180000,55000,70000
Katavi,Mpanda,62000,66000,150000,150000,180000,200000,NA,NA,200000,180000,NA,NA,200000,240000,75000,75000
Kilimanjaro,Moshi,60000,75000,160000,200000,120000,120000,120000,120000,NA,NA,140000,140000,170000,200000,70000,70000
Lindi,Lindi,70000,70000,155000,210000,150000,200000,NA,NA,200000,200000,NA,NA,200000,200000,100000,100000
Manyara,Babati,54000,66000,180000,200000,80000,100000,80000,100000,160000,140000,160000,180000,150000,168000,70000,100000
Kigoma,Kigoma,56000,66000,160000,180000,80000,100000,100000,150000,180000,200000,160000,180000,100000,..............,100000,110000
Morogoro,Morogoro,56000,57815,180000,200000,170000,180000,170000,180000,175000,170000,170000,170000,190000,230000,96000,100000
Mtwara,Mtwara Dc,55000,55000,180000,200000,NA,NA,NA,NA,180000,180000,NA,NA,190000,200000,NA,NA
Mwanza,Mwanza,70000,70000,155000,200000,150000,200000,180000,180000,180000,180000,NA,NA,150000,230000,85000,85000
Njombe,Njombe,60000,60000,200000,250000,NA,NA,NA,NA,ויווווו,150000,175000,180000,180000,150000,60000,60000
Rukwa,Sumbawanga,52000,55000,160000,180000,NA,NA,NA,NA,NA,NA,NA,NA,175000,70000,70000
Tanga,Tanga,60000,62000,180000,200000,90000,100000,100000,120000,180000,160000,120000,130000,180000,100000,80000
