Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
14 MACHI, 2022,Arusha,Arusha (Urban),59000,60000,190000,230000,60000,65000,65000,70000,139000,138000,133000,138000,150000,200000,80000,85000
14 MACHI, 2022,D'Salaam,Kinondoni (Tandale),55000,77500,170000,240000,100000,120000,80000,80000,170000,170000,200000,160000,220000,240000,55000,68750
14 MACHI, 2022,Dodoma,Majengo,50000,56000,170000,198000,55000,80000,62000,70000,135000,142000,NA,NA,175000,199000,78500,78500
14 MACHI, 2022,Dodoma,Kibaigwa,51000,51500,180000,200000,60000,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14 MACHI, 2022,Iringa,Iringa,50000,50000,180000,240000,100000,120000,NA,NA,150000,150000,150000,150000,190000,220000,50000,62500
14 MACHI, 2022,Kagera,Bukoba,55000,58000,150000,185000,120000,140000,120000,140000,130000,150000,130000,140000,120000,180000,55000,70000
14 MACHI, 2022,Katavi,Mpanda,62000,66000,150000,150000,180000,200000,NA,NA,180000,200000,NA,NA,200000,240000,75000,75000
14 MACHI, 2022,Kilimanjaro,Moshi,60000,75000,160000,200000,120000,120000,120000,120000,NA,NA,140000,140000,170000,200000,70000,70000
14 MACHI, 2022,Lindi,Lindi,70000,70000,155000,210000,150000,200000,NA,NA,200000,200000,NA,NA,200000,200000,100000,100000
14 MACHI, 2022,Manyara,Babati,54000,66000,180000,200000,80000,100000,80000,100000,160000,140000,160000,180000,150000,168000,70000,100000
14 MACHI, 2022,Kigoma,Kigoma,56000,66000,160000,180000,80000,100000,100000,150000,180000,200000,160000,180000,100000,120000,100000,100000
14 MACHI, 2022,Morogoro,Morogoro,58590,58590,160000,220000,170000,180000,170000,180000,175000,170000,170000,170000,180000,220000,80000,90000
14 MACHI, 2022,Mtwara,Mtwara Dc,55000,55000,180000,200000,NA,NA,NA,NA,180000,180000,NA,NA,210000,220000,85000,90000
14 MACHI, 2022,Mwanza,Mwanza,70000,70000,155000,200000,150000,200000,180000,180000,180000,180000,NA,NA,150000,230000,85000,85000
14 MACHI, 2022,Njombe,Njombe,60000,60000,200000,240000,NA,NA,NA,NA,175000,150000,180000,180000,150000,220000,60000,60000
14 MACHI, 2022,Rukwa,Sumbawanga,52000,55000,160000,180000,NA,NA,NA,NA,NA,NA,NA,NA,175000,180000,70000,70000
14 MACHI, 2022,Tanga,Tanga,60000,62000,180000,200000,90000,100000,100000,120000,160000,180000,130000,120000,180000,190000,80000,90000
