Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price,Date
Arusha,Arusha (Urban),60000,62000,190000,230000,60000,65000,68000,70000,138000,139000,115000,120000,150000,200000,100000,90000,30 MACHI, 2022
D'Salaam,Kinondoni (Tandale),58000,100000,170000,250000,100000,120000,90000,80000,170000,170000,170000,200000,220000,240000,60000,62500,30 MACHI, 2022
Dodoma,Majengo,51000,56000,170000,198000,55000,80000,62000,70000,132500,142000,NA,NA,175000,200000,80000,106250,30 MACHI, 2022
Dodoma,Kibaigwa,53000,53000,180000,200000,55000,63000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 MACHI, 2022
Iringa,Iringa,49000,49000,180000,240000,100000,120000,NA,NA,150000,150000,150000,150000,190000,220000,56250,56250,30 MACHI, 2022
Kagera,Bukoba,55000,58000,150000,185000,120000,140000,120000,140000,130000,150000,130000,140000,120000,180000,70000,55000,30 MACHI, 2022
Katavi,Mpanda,62000,66000,150000,150000,180000,200000,NA,NA,180000,200000,NA,NA,200000,240000,75000,75000,30 MACHI, 2022
Kilimanjaro,Moshi,60000,75000,160000,200000,120000,120000,120000,120000,NA,NA,140000,140000,170000,200000,70000,70000,30 MACHI, 2022
Lindi,Lindi,70000,80000,190000,220000,150000,200000,NA,NA,180000,180000,NA,NA,190000,200000,100000,85000,30 MACHI, 2022
Manyara,Babati,60000,72000,180000,200000,80000,100000,100000,80000,150000,160000,180000,200000,150000,168000,100000,110000,30 MACHI, 2022
Kigoma,Kigoma,56000,66000,160000,180000,80000,100000,150000,100000,180000,200000,160000,180000,100000,120000,100000,100000,30 MACHI, 2022
Mara,Musoma,65000,65000,150000,150000,60000,65000,200000,180000,180000,200000,NA,NA,225000,230000,95000,90000,30 MACHI, 2022
Morogoro,Morogoro,58000,59500,197000,200000,170000,180000,180000,170000,170000,175000,170000,170000,190000,200000,95000,90000,30 MACHI, 2022
Mtwara,Mtwara Dc,55000,55000,180000,200000,95000,100000,NA,NA,180000,180000,NA,NA,200000,210000,90000,85000,30 MACHI, 2022
Mwanza,Mwanza,68000,70000,155000,200000,150000,150000,170000,170000,180000,180000,NA,NA,155000,230000,85000,100000,30 MACHI, 2022
Njombe,Njombe,56000,60000,200000,240000,NA,NA,NA,NA,150000,175000,180000,180000,150000,220000,50500,50500,30 MACHI, 2022
Rukwa,Sumbawanga,55000,55000,150000,180000,NA,NA,NA,NA,150000,180000,170000,180000,160000,180000,50000,60000,30 MACHI, 2022
Shinyanga,Shinyanga,55000,60000,160000,180000,90000,100000,90000,100000,NA,NA,NA,NA,170000,180000,65000,70000,30 MACHI, 2022
Tanga,Tanga,80000,100000,180000,200000,100000,100000,120000,100000,160000,180000,150000,170000,190000,200000,100000,80000,30 MACHI, 2022
