Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Potatoes Min Price,Potatoes Max Price
02 MEI, 2022,Arusha,Arusha (Urban),77000,78000,200000,250000,65000,70000,68000,70000,139000,145000,150000,150000,190000,90000,85000
02 MEI, 2022,D'Salaam,Kinondoni (Tandale),75000,120000,180000,200000,100000,120000,120000,100000,200000,170000,200000,240000,280000,58000,60000
02 MEI, 2022,Dodoma,Majengo,69500,73000,180000,210000,68500,80000,63000,70000,150000,142000,186000,186000,200000,69500,85000
02 MEI, 2022,Dodoma,Kibaigwa,60000,66000,180000,200000,60000,65000,NA,NA,NA,NA,NA,180000,200000,NA,NA
02 MEI, 2022,Iringa,Iringa,60000,60000,170000,220000,NA,NA,NA,NA,NA,NA,NA,170000,180000,68800,68800
02 MEI, 2022,Kagera,Bukoba,76000,80000,170000,210000,120000,140000,150000,140000,170000,150000,200000,140000,180000,60000,75000
02 MEI, 2022,Katavi,Mpanda,45000,52000,160000,190000,170000,200000,NA,NA,180000,200000,NA,165000,170000,55000,60000
02 MEI, 2022,Manyara,Babati,72000,90000,180000,220000,80000,100000,80000,100000,150000,160000,200000,150000,180000,85000,85000
02 MEI, 2022,Kigoma,Kigoma,63888,66666,175000,200000,100000,100000,120000,120000,150000,150000,170000,180000,180000,80000,90000
02 MEI, 2022,Mara,Musoma,80000,85000,NA,NA,80000,85000,220000,250000,220000,250000,NA,200000,220000,NA,NA
02 MEI, 2022,Morogoro,Morogoro,58600,64500,198000,230000,170000,180000,180000,170000,175000,170000,170000,190000,200000,95000,95000
02 MEI, 2022,Mtwara,Mtwara Dc,65000,65000,190000,200000,95000,100000,NA,NA,180000,180000,NA,175000,180000,78000,80000
02 MEI, 2022,Mwanza,Mwanza,65000,65000,180000,250000,140000,180000,150000,180000,180000,180000,NA,170000,230000,100000,100000
02 MEI, 2022,Njombe,Njombe,56000,60000,200000,250000,NA,NA,NA,NA,150000,175000,180000,150000,220000,50500,46000
02 MEI, 2022,Rukwa,Sumbawanga,60000,60000,160000,170000,NA,NA,NA,NA,180000,195000,150000,145000,175000,60000,70000
02 MEI, 2022,Tabora,Tabora,58000,60000,160000,190000,NA,NA,NA,NA,NA,NA,190000,180000,200000,NA,NA
02 MEI, 2022,Tanga,Tanga,62000,67000,190000,220000,100000,100000,100000,100000,180000,170000,180000,180000,190000,65000,65000
