Date,Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,WheatGrain_MinPrice,WheatGrain_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
06 MEI, 2022,D'Salaam,Kinondoni (Tandale),75000,120000,190000,250000,110000,150000,90000,120000,170000,200000,220000,260000,200000,280000,55000,58000
06 MEI, 2022,D'Salaam,Ilala (Buguruni),70000,75000,170000,250000,NA,NA,NA,NA,NA,NA,NA,NA,200000,240000,68000,65000
06 MEI, 2022,Dodoma,Majengo,75500,79000,180000,210000,59000,79000,63000,70000,142000,155000,186000,200000,186000,210000,69500,84000
06 MEI, 2022,Dodoma,Kibaigwa,56000,68000,180000,200000,55000,60000,NA,NA,NA,NA,NA,NA,180000,200000,NA,NA
06 MEI, 2022,Iringa,Iringa,50000,60000,170000,220000,150000,150000,200000,200000,200000,200000,200000,200000,160000,180000,68800,68800
06 MEI, 2022,Kagera,Bukoba,78000,80000,170000,210000,120000,140000,140000,150000,150000,170000,200000,220000,150000,180000,60000,75000
06 MEI, 2022,Katavi,Mpanda,42000,52000,150000,180000,180000,200000,NA,NA,180000,200000,NA,NA,165000,170000,60000,55000
06 MEI, 2022,Manyara,Babati,72000,85000,180000,220000,80000,100000,80000,100000,150000,160000,200000,220000,150000,180000,80000,80000
06 MEI, 2022,Kigoma,Kigoma,63888,66666,175000,200000,100000,100000,120000,120000,150000,150000,170000,170000,180000,180000,80000,90000
06 MEI, 2022,Mara,Musoma,80000,85000,NA,NA,80000,85000,220000,250000,220000,250000,NA,NA,200000,220000,NA,NA
06 MEI, 2022,Morogoro,Morogoro,58600,62500,198000,230000,170000,180000,170000,180000,170000,175000,170000,170000,190000,200000,95000,95000
06 MEI, 2022,Mtwara,Mtwara Dc,65000,65000,200000,220000,100000,100000,NA,NA,180000,180000,NA,NA,185000,190000,78000,80000
06 MEI, 2022,Mwanza,Mwanza,78000,81000,180000,250000,140000,180000,140000,200000,180000,180000,NA,NA,185000,250000,100000,100000
06 MEI, 2022,Njombe,Njombe,60000,72000,200000,220000,NA,NA,NA,NA,150000,175000,180000,180000,150000,220000,50500,46000
06 MEI, 2022,Rukwa,Sumbawanga,55000,60000,140000,160000,NA,NA,NA,NA,180000,195000,140000,140000,150000,175000,60000,70000
06 MEI, 2022,Ruvuma,Songea,55000,58000,160000,170000,NA,NA,NA,NA,NA,NA,NA,NA,190000,200000,80000,75000
06 MEI, 2022,Shinyanga,Shinyanga,NA,NA,200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06 MEI, 2022,Tabora,Tabora,58000,60000,160000,200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06 MEI, 2022,Tanga,Tanga,62000,65000,190000,220000,100000,100000,100000,100000,170000,180000,180000,190000,180000,190000,65000,65000
