Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
09 ΜΕΙ, 2022,Arusha,Arusha,77000,78000,200000,250000,65000,70000,NA,NA,139000,140000,148000,150000,150000,190000,90000,85000
09 ΜΕΙ, 2022,D'Salaam,Kinondoni (Tandale),80000,80000,190000,260000,110000,150000,120000,100000,220000,260000,220000,260000,200000,280000,60000,58000
09 ΜΕΙ, 2022,D'Salaam,Ilala,70000,75000,170000,250000,NA,NA,NA,NA,NA,NA,NA,NA,200000,240000,65000,68000
09 ΜΕΙ, 2022,Dodoma,Majengo,75500,79000,180000,210000,59000,79000,NA,NA,155000,142000,168000,178000,186000,210000,69500,84000
09 ΜΕΙ, 2022,Dodoma,Kibaigwa,60000,71000,180000,200000,55000,60000,NA,NA,NA,NA,NA,NA,180000,200000,NA,NA
09 ΜΕΙ, 2022,Iringa,Iringa,50000,60000,170000,220000,150000,150000,200000,200000,200000,200000,200000,200000,160000,180000,55000,55000
09 ΜΕΙ, 2022,Kagera,Bukoba,78000,80000,170000,210000,120000,140000,160000,170000,150000,170000,200000,220000,150000,180000,60000,75000
09 ΜΕΙ, 2022,Katavi,Mpanda,42000,52000,150000,180000,180000,200000,NA,NA,180000,200000,NA,NA,165000,170000,60000,55000
09 ΜΕΙ, 2022,Lindi,Lindi,60000,90000,160000,240000,90000,200000,180000,NA,180000,270000,NA,NA,170000,230000,90000,65000
09 ΜΕΙ, 2022,Manyara,Babati,65000,84000,190000,220000,80000,100000,80000,100000,150000,160000,200000,230000,150000,180000,80000,80000
09 ΜΕΙ, 2022,Mara,Musoma,70000,75000,180000,200000,70000,75000,220000,250000,220000,250000,140000,160000,200000,220000,110000,90000
09 ΜΕΙ, 2022,Mbeya,Mbeya,36000,36000,250000,250000,NA,NA,NA,NA,132000,132000,128000,128000,156000,156000,42000,42000
09 ΜΕΙ, 2022,Morogoro,Morogoro,62500,62500,200000,230000,170000,180000,180000,170000,175000,180000,170000,180000,195000,220000,95000,100000
09 ΜΕΙ, 2022,Mtwara,Mtwara Dc,65000,65000,200000,220000,100000,100000,NA,NA,180000,180000,NA,NA,185000,190000,65000,70000
09 ΜΕΙ, 2022,Mwanza,Mwanza,78000,81000,180000,250000,140000,180000,200000,140000,180000,180000,NA,NA,185000,250000,100000,100000
09 ΜΕΙ, 2022,Njombe,Njombe,60000,72000,200000,250000,NA,NA,NA,NA,200000,220000,200000,200000,150000,220000,50500,46000
09 ΜΕΙ, 2022,Rukwa,Sumbawanga,55000,55000,160000,160000,NA,NA,NA,NA,NA,NA,NA,NA,120000,130000,75000,90000
09 ΜΕΙ, 2022,Ruvuma,Songea,60000,58000,160000,170000,90000,100000,NA,NA,NA,NA,NA,NA,150000,150000,60000,......
09 ΜΕΙ, 2022,Shinyanga,Shinyanga,71000,62000,200000,180000,NA,NA,NA,NA,NA,NA,120000,150000,NA,NA,80000,75000
09 ΜΕΙ, 2022,Tabora,Tabora,58000,60000,190000,200000,NA,NA,NA,NA,NA,NA,130000,200000,NA,NA,75000,80000
09 ΜΕΙ, 2022,Tanga,Tanga,72000,60000,190000,NA,100000,NA,100000,NA,180000,NA,180000,120000,170000,NA,60000,NA
09 ΜΕΙ, 2022,,,,80000,160000,100000,90000,220000,200000,150000,130000,165000,NA,170000,150000,180000,NA,80000
09 ΜΕΙ, 2022,,,,,,,,,,,,,,,,,,,
