Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Potatoes Min Price,Potatoes Max Price
11 MEI, 2022,D'Salaam,Kinondoni (Tandale),80000,80000,200000,290000,110000,150000,90000,110000,175000,175000,220000,260000,200000,280000,58000,60000
11 MEI, 2022,D'Salaam,Ilala,70000,75000,170000,250000,NA,NA,NA,NA,NA,NA,NA,NA,200000,240000,68000,65000
11 MEI, 2022,Dodoma,Majengo,76500,79000,190000,210000,60000,78000,63000,70000,155000,143000,168000,178000,186000,215000,69500,84000
11 MEI, 2022,Dodoma,Kibaigwa,67000,70000,200000,220000,55000,60000,NA,NA,NA,NA,NA,NA,180000,200000,NA,NA
11 MEI, 2022,Iringa,Iringa,62000,62000,170000,220000,150000,150000,200000,200000,180000,180000,200000,200000,170000,190000,55000,55000
11 MEI, 2022,Kagera,Bukoba,78000,82000,170000,210000,120000,140000,170000,160000,160000,170000,200000,220000,150000,180000,75000,60000
11 MEI, 2022,Katavi,Mpanda,42000,52000,150000,180000,180000,200000,NA,NA,180000,200000,NA,NA,165000,170000,55000,60000
11 MEI, 2022,Kilimanjaro,Moshi,80000,85000,200000,220000,160000,160000,160000,160000,200000,200000,200000,200000,180000,200000,70000,70000
11 MEI, 2022,Manyara,Babati,65000,84000,190000,220000,80000,100000,80000,100000,150000,160000,200000,230000,150000,180000,80000,80000
11 MEI, 2022,Mara,Musoma,70000,75000,180000,200000,70000,75000,250000,220000,250000,220000,200000,220000,200000,220000,90000,110000
11 MEI, 2022,Morogoro,Morogoro,62500,62500,200000,230000,170000,180000,180000,170000,180000,175000,170000,180000,195000,220000,95000,100000
11 MEI, 2022,Mwanza,Mwanza,78000,81000,180000,250000,140000,180000,200000,140000,180000,180000,NA,NA,185000,250000,100000,100000
11 MEI, 2022,Njombe,Njombe,60000,72000,200000,250000,NA,NA,NA,NA,220000,200000,200000,200000,150000,220000,50500,46000
11 MEI, 2022,Rukwa,Sumbawanga,55000,60000,160000,170000,NA,NA,NA,NA,NA,NA,150000,150000,120000,165000,75000,60000
11 MEI, 2022,Ruvuma,Songea,50000,52000,160000,200000,NA,NA,NA,NA,NA,NA,NA,NA,160000,180000,75000,80000
11 MEI, 2022,Tabora,Tabora,58000,60000,160000,190000,NA,NA,NA,NA,NA,NA,190000,200000,180000,200000,NA,NA
11 MEI, 2022,Tanga,Tanga,71000,73000,190000,220000,100000,100000,100000,100000,190000,195000,NA,NA,180000,190000,65000,65000
