Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Price,Irish Potatoes Max Price
2022-05-18,Arusha,Arusha,78000,79000,190000,250000,65000,70000,68000,70000,139000,140000,148000,150000,150000,190000,85000,90000
2022-05-18,"D'Salaam",Kinondoni (Tandale),80000,120000,180000,240000,110000,150000,90000,90000,175000,175000,200000,240000,200000,240000,58000,60000
2022-05-18,"D'Salaam",Ilala,82000,82000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63000,66000
2022-05-18,Dodoma,Kibaigwa,64000,73000,200000,220000,55000,60000,NA,NA,NA,NA,NA,NA,180000,200000,NA,NA
2022-05-18,Dodoma,Majengo,76800,79000,190000,210000,60000,78000,63000,70000,155000,143000,168000,178000,186000,215000,69500,84000
2022-05-18,Iringa,Iringa,55000,65000,170000,220000,150000,150000,200000,200000,180000,180000,200000,200000,170000,190000,55000,55000
2022-05-18,Kilimanjaro,Moshi,85000,85000,200000,220000,160000,160000,NA,NA,160000,160000,NA,NA,NA,NA,NA,NA
2022-05-18,Manyara,Babati,65000,84000,190000,220000,100000,120000,80000,100000,160000,150000,220000,230000,150000,180000,70000,70000
2022-05-18,Mbeya,Mbeya,72000,72000,210000,260000,NA,NA,NA,NA,132000,132000,128000,128000,192000,204000,42000,42000
2022-05-18,Morogoro,Morogoro,62500,62500,200000,230000,170000,180000,170000,180000,180000,175000,170000,180000,180000,190000,80000,85000
2022-05-18,Mtwara,Mtwara,65000,65000,200000,220000,100000,100000,NA,NA,180000,180000,NA,NA,175000,180000,70000,60000
2022-05-18,Rukwa,Sumbawanga,60000,70000,140000,160000,NA,NA,NA,NA,200000,250000,190000,200000,145000,180000,60000,75000
2022-05-18,Shinyanga,Shinyanga,55000,60000,160000,190000,90000,100000,90000,100000,120000,110000,120000,130000,170000,180000,90000,80000
2022-05-18,Tabora,Tabora,60000,61000,160000,190000,NA,NA,NA,NA,NA,NA,190000,200000,180000,200000,NA,NA
2022-05-18,Tanga,Tanga,78000,80000,180000,200000,100000,100000,100000,100000,182000,180000,180000,190000,190000,200000,65000,65000
