Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
23 MEI, 2022,Arusha,Arusha,78000,79000,190000,250000,65000,70000,68000,70000,139000,140000,148000,150000,150000,190000,82000,85000
23 MEI, 2022,Dodoma,Kibaigwa,67500,75000,200000,220000,60000,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23 MEI, 2022,Dodoma,Majengo,73500,78000,190000,215000,65000,80000,65000,80000,150000,145000,168000,174000,186000,215000,69000,70000
23 MEI, 2022,Iringa,Iringa,55000,63000,190000,170000,150000,150000,200000,200000,180000,180000,200000,200000,170000,190000,55000,45000
23 MEI, 2022,Kagera,Bukoba,80000,82000,170000,210000,130000,140000,160000,170000,150000,170000,200000,220000,160000,180000,75000,65000
23 MEI, 2022,Katavi,Mpanda,57000,62000,190000,150000,180000,200000,NA,NA,180000,200000,NA,NA,165000,200000,55000,60000
23 MEI, 2022,Mara,Musoma,70000,75000,180000,160000,70000,75000,220000,250000,250000,220000,200000,220000,200000,220000,90000,110000
23 MEI, 2022,Manyara,Babati,65000,84000,190000,220000,100000,120000,80000,100000,160000,150000,220000,230000,150000,180000,70000,70000
23 MEI, 2022,Morogoro,Morogoro,71313,71313,200000,230000,170000,180000,180000,170000,175000,180000,170000,180000,180000,190000,95000,100000
23 MEI, 2022,Njombe,Njombe,60000,72000,200000,250000,NA,NA,NA,NA,200000,220000,200000,200000,150000,220000,50500,46000
23 MEI, 2022,Mtwara,Mtwara,65000,65000,190000,200000,100000,100000,NA,NA,180000,180000,NA,NA,175000,180000,NA,NA
23 MEI, 2022,Rukwa,Sumbawanga,60000,65000,180000,160000,NA,NA,NA,NA,200000,200000,190000,200000,135000,180000,60000,75000
23 MEI, 2022,Ruvuma,Songea,48000,50000,160000,210000,NA,NA,NA,NA,NA,NA,NA,NA,150000,180000,75000,80000
23 MEI, 2022,Shinyanga,Shinyanga,60000,65000,180000,160000,100000,110000,90000,100000,120000,130000,135000,140000,170000,180000,90000,80000
23 MEI, 2022,Tabora,Tabora,60000,61000,200000,180000,NA,NA,NA,NA,NA,NA,190000,200000,190000,200000,NA,NA
23 MEI, 2022,Tanga,Tanga,79000,80000,200000,180000,100000,100000,100000,100000,190000,185000,180000,190000,190000,200000,65000,65000
