Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2022-05-27,Arusha,Arusha,83000,84000,190000,250000,65000,70000,68000,70000,140000,140000,150000,140000,150000,190000,85000,80000
2022-05-27,D'Salaam,Kinondoni (Tandale),80000,80000,200000,250000,110000,150000,90000,110000,175000,175000,210000,250000,220000,250000,75000,70000
2022-05-27,Dodoma,Kibaigwa,70000,73000,NA,NA,60000,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-27,Dodoma,Majengo,73500,78000,190000,215000,65000,80000,65000,80000,150000,145000,168000,174000,186000,215000,69000,70000
2022-05-27,Iringa,Iringa,55000,62000,170000,220000,150000,150000,200000,200000,180000,180000,200000,200000,170000,190000,55000,45000
2022-05-27,Kagera,Bukoba,80000,82000,170000,210000,130000,140000,160000,170000,150000,170000,220000,200000,170000,180000,80000,65000
2022-05-27,Katavi,Mpanda,58000,65000,150000,190000,180000,200000,NA,NA,180000,200000,NA,NA,165000,200000,55000,60000
2022-05-27,Kigoma,Kigoma,63888,66666,170000,180000,100000,100000,100000,100000,200000,170000,250000,250000,150000,160000,90000,85000
2022-05-27,Lindi,Lindi,100000,100000,180000,270000,90000,200000,180000,200000,270000,180000,290000,270000,180000,280000,65000,95000
2022-05-27,Mara,Musoma,70000,75000,160000,180000,70000,75000,220000,250000,250000,220000,174000,168000,200000,220000,110000,90000
2022-05-27,Manyara,Babati,65000,90000,190000,220000,100000,120000,80000,100000,160000,150000,220000,230000,150000,180000,85000,85000
2022-05-27,Morogoro,Morogoro,70312,70312,200000,230000,170000,180000,170000,180000,180000,175000,170000,180000,180000,190000,95000,100000
2022-05-27,Njombe,Njombe,60000,72000,200000,250000,NA,NA,NA,NA,200000,220000,200000,200000,150000,220000,50500,46000
2022-05-27,Mtwara,Mtwara,65000,65000,190000,200000,100000,100000,NA,NA,180000,180000,NA,NA,175000,180000,75000,75000
2022-05-27,Rukwa,Sumbawanga,60000,65000,150000,180000,NA,NA,NA,NA,200000,200000,180000,200000,130000,180000,75000,70000
2022-05-27,Ruvuma,Songea,48000,50000,150000,210000,NA,NA,NA,NA,NA,NA,NA,NA,150000,180000,72000,78000
2022-05-27,Tabora,Tabora,60000,61000,190000,200000,NA,NA,NA,NA,NA,NA,200000,190000,200000,220000,NA,NA
2022-05-27,Tanga,Tanga,79000,80000,188000,200000,100000,100000,100000,100000,180000,182000,190000,180000,190000,200000,65000,65000
