Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Max Price,Millet Min Price,Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
30 MEI, 2022,Arusha,Arusha,83000,84000,200000,250000,65000,70000,70000,68000,70000,140000,145000,140000,150000,150000,190000,85000,80000
30 MEI, 2022,D'Salaam,Kinondoni (Tandale),85000,90000,200000,240000,110000,150000,95000,95000,95000,175000,175000,220000,250000,220000,250000,68000,70000
30 MEI, 2022,Dodoma,Kibaigwa,70000,75000,NA,NA,60000,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30 MEI, 2022,Dodoma,Majengo,73500,78000,190000,215000,65000,80000,80000,65000,80000,150000,145000,168000,174000,185000,220000,69000,84000
30 MEI, 2022,Iringa,Iringa,55000,62000,170000,220000,150000,150000,200000,200000,200000,180000,180000,200000,200000,160000,190000,55000,45000
30 MEI, 2022,Kagera,Bukoba,80000,82000,170000,210000,130000,140000,170000,160000,170000,150000,170000,200000,220000,170000,180000,80000,65000
30 MEI, 2022,Katavi,Mpanda,58000,65000,150000,190000,180000,200000,NA,NA,NA,180000,200000,NA,NA,165000,200000,55000,60000
30 MEI, 2022,Kigoma,Kigoma,63888,66666,170000,180000,100000,100000,100000,100000,100000,170000,200000,250000,250000,150000,160000,85000,90000
30 MEI, 2022,Manyara,Babati,78000,96000,200000,240000,100000,120000,80000,100000,80000,150000,160000,220000,230000,150000,180000,85000,85000
30 MEI, 2022,Morogoro,Morogoro,66406,70312,200000,230000,170000,180000,170000,180000,170000,175000,180000,170000,180000,180000,190000,95000,100000
30 MEI, 2022,Mwanza,Mwanza,80000,82000,180000,250000,140000,180000,200000,150000,200000,200000,180000,180000,200000,170000,250000,85000,90000
30 MEI, 2022,Njombe,Njombe,60000,72000,200000,250000,NA,NA,NA,NA,NA,200000,220000,200000,200000,150000,220000,50500,46000
30 MEI, 2022,Mtwara,Mtwara,67000,70000,200000,210000,100000,100000,NA,NA,NA,NA,NA,NA,NA,175000,180000,75000,75000
30 MEI, 2022,Rukwa,Sumbawanga,60000,65000,160000,180000,NA,NA,NA,NA,NA,200000,200000,190000,200000,130000,180000,75000,70000
30 MEI, 2022,Ruvuma,Songea,40000,50000,150000,210000,NA,NA,NA,NA,NA,NA,NA,NA,NA,140000,180000,75000,70000
30 MEI, 2022,Tabora,Tabora,60000,61000,190000,200000,NA,NA,NA,NA,NA,NA,NA,190000,200000,200000,220000,NA,NA
30 MEI, 2022,Tanga,Tanga,76000,78000,189000,200000,100000,100000,100000,100000,100000,180000,182000,180000,190000,190000,200000,65000,65000
