Date,Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
01 JUNI, 2022,Arusha,Arusha,83000,84000,200000,250000,65000,70000,68000,70000,140000,145000,140000,150000,150000,190000,85000,80000
01 JUNI, 2022,D'Salaam,Kinondoni (Tandale),85000,90000,200000,240000,110000,NA,90000,120000,175000,175000,220000,250000,220000,260000,68000,70000
01 JUNI, 2022,Dodoma,Kibaigwa,72000,72000,NA,NA,60000,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01 JUNI, 2022,Iringa,Iringa,55000,62000,170000,220000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000,55000
01 JUNI, 2022,Dodoma,Majengo,73500,78000,190000,215000,65000,80000,65000,80000,150000,145000,168000,174000,185000,220000,69000,84000
01 JUNI, 2022,Kigoma,Kigoma,72200,77700,170000,180000,100000,100000,100000,100000,150000,150000,250000,250000,150000,150000,85000,90000
01 JUNI, 2022,Katavi,Mpanda,58000,65000,150000,190000,180000,200000,NA,NA,180000,200000,NA,NA,165000,200000,55000,60000
01 JUNI, 2022,Mara,Musoma,70000,80000,150000,180000,70000,80000,NA,NA,NA,NA,160000,180000,180000,200000,NA,NA
01 JUNI, 2022,Manyara,Babati,78000,96000,200000,240000,100000,120000,80000,100000,160000,150000,220000,230000,150000,180000,85000,85000
01 JUNI, 2022,Mbeya,Mbeya,72000,72000,210000,260000,NA,NA,NA,NA,132000,132000,128000,128000,192000,204000,NA,NA
01 JUNI, 2022,Morogoro,Morogoro,66406,70312,200000,230000,170000,180000,170000,180000,180000,175000,170000,180000,180000,190000,95000,100000
01 JUNI, 2022,Njombe,Njombe,60000,72000,200000,250000,NA,NA,NA,NA,220000,200000,200000,200000,150000,220000,50500,46000
01 JUNI, 2022,Mtwara,Mtwara,67000,70000,200000,210000,100000,100000,NA,NA,NA,NA,NA,NA,175000,180000,75000,75000
01 JUNI, 2022,Rukwa,Sumbawanga,55000,65000,160000,180000,NA,NA,NA,NA,200000,200000,190000,200000,130000,180000,70000,75000
01 JUNI, 2022,Shinyanga,Shinyanga,65000,68000,120000,180000,100000,110000,90000,100000,120000,110000,120000,130000,175000,190000,90000,80000
01 JUNI, 2022,Ruvuma,Songea,40000,50000,150000,210000,NA,NA,NA,NA,NA,NA,NA,NA,140000,180000,70000,75000
01 JUNI, 2022,Tabora,Tabora,65000,66000,190000,200000,NA,NA,NA,NA,NA,NA,190000,200000,200000,220000,NA,NA
01 JUNI, 2022,Tanga,Tanga,76000,79000,189000,200000,100000,100000,100000,100000,190000,185000,180000,190000,189000,200000,65000,65000
