Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price,Min Price,Max Price,Date
Arusha,Arusha,83000,84000,200000,250000,70000,65000,68000,70000,145000,140000,140000,150000,150000,190000,80000,85000,03 JUNI, 2022
D'Salaam,"Kinondoni (Tandale)",85000,90000,190000,250000,120000,110000,90000,95000,175000,175000,220000,220000,200000,240000,85000,80000,03 JUNI, 2022
Dodoma,Kibaigwa,75000,75000,NA,NA,60000,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 JUNI, 2022
Dodoma,Majengo,73500,78000,190000,215000,80000,65000,65000,80000,150000,145000,168000,174000,185000,220000,69000,84000,03 JUNI, 2022
Iringa,Iringa,60000,68000,170000,220000,150000,150000,200000,200000,180000,180000,200000,200000,170000,180000,70000,70000,03 JUNI, 2022
Kagera,Bukoba,83000,85000,170000,210000,120000,130000,130000,150000,160000,170000,200000,220000,120000,150000,65000,80000,03 JUNI, 2022
Katavi,Mpanda,60000,67000,170000,200000,180000,200000,NA,NA,180000,200000,NA,NA,165000,200000,55000,60000,03 JUNI, 2022
Kigoma,Kigoma,72200,77700,170000,180000,100000,100000,100000,100000,150000,150000,250000,250000,150000,150000,90000,85000,03 JUNI, 2022
Mara,Musoma,70000,80000,150000,180000,70000,80000,NA,NA,NA,NA,160000,180000,180000,200000,NA,NA,03 JUNI, 2022
Manyara,Babati,72000,84000,200000,240000,120000,100000,80000,100000,160000,150000,220000,230000,192000,210000,90000,90000,03 JUNI, 2022
Njombe,Njombe,60000,72000,200000,250000,NA,NA,NA,NA,200000,220000,200000,200000,150000,220000,50500,46000,03 JUNI, 2022
Mtwara,Mtwara,67000,70000,200000,210000,100000,100000,NA,NA,NA,NA,NA,NA,175000,180000,75000,75000,03 JUNI, 2022
Rukwa,Sumbawanga,60000,65000,160000,180000,NA,NA,NA,NA,200000,200000,195000,200000,130000,180000,75000,70000,03 JUNI, 2022
Ruvuma,Songea,40000,50000,150000,200000,NA,NA,NA,NA,NA,NA,NA,NA,140000,190000,72000,76000,03 JUNI, 2022
Tabora,Tabora,65000,66000,190000,200000,NA,NA,NA,NA,NA,NA,190000,200000,200000,220000,NA,NA,03 JUNI, 2022
Tanga,Tanga,75000,76000,189000,200000,100000,100000,100000,100000,182000,180000,180000,190000,190000,200000,65000,65000,03 JUNI, 2022
