Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
08 JUNI, 2022,Arusha,Arusha,85000,87000,200000,250000,65000,70000,68000,70000,145000,140000,140000,150000,160000,200000,85000,80000
08 JUNI, 2022,Dodoma,Kibaigwa,76000,76000,NA,NA,60000,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08 JUNI, 2022,Dodoma,Majengo,78500,84000,195000,230000,65000,80000,68000,82000,155000,145000,180000,182400,185000,225000,65000,85000
08 JUNI, 2022,Iringa,Iringa,60000,68000,170000,220000,150000,150000,200000,200000,180000,180000,200000,200000,170000,180000,70000,70000
08 JUNI, 2022,Kagera,Bukoba,85000,88000,170000,210000,120000,130000,150000,130000,160000,170000,200000,220000,110000,150000,65000,80000
08 JUNI, 2022,Katavi,Mpanda,65000,72000,170000,200000,180000,200000,NA,NA,200000,180000,NA,NA,165000,200000,55000,60000
08 JUNI, 2022,Mara,Musoma,80000,85000,150000,180000,80000,85000,NA,NA,NA,NA,160000,180000,180000,200000,NA,NA
08 JUNI, 2022,Manyara,Babati,72000,84000,200000,240000,100000,120000,80000,100000,150000,160000,220000,230000,192000,210000,90000,100000
08 JUNI, 2022,Njombe,Njombe,60000,72000,200000,250000,NA,NA,NA,NA,220000,200000,200000,200000,150000,220000,NA,NA
08 JUNI, 2022,Rukwa,Sumbawanga,55000,65000,150000,180000,NA,NA,NA,NA,200000,200000,195000,200000,130000,175000,70000,80000
08 JUNI, 2022,Ruvuma,Songea,50000,55000,150000,200000,NA,NA,NA,NA,NA,NA,NA,NA,140000,190000,72000,76000
08 JUNI, 2022,Tabora,Tabora,68000,69000,190000,220000,150000,160000,NA,NA,190000,200000,190000,200000,210000,220000,100000,90000
08 JUNI, 2022,Tanga,Tanga,95000,96000,195000,200000,98000,100000,98000,100000,160000,150000,190000,200000,190000,200000,90000,89000
