Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2022-06-27,Arusha,Arusha,98000,100000,200000,250000,80000,80000,80000,80000,120000,135000,135000,140000,165000,230000,90000,85000
2022-06-27,"Dar es Salaam",Kinondoni,87000,120000,195000,240000,90000,110000,90000,95000,170000,150000,180000,220000,220000,240000,85000,88000
2022-06-27,"Dar es Saalam",Temeke,100000,110000,165000,165000,135000,135000,195000,200000,170000,175000,NA,NA,215000,225000,NA,NA
2022-06-27,Dodoma,Kibaigwa,82000,85000,220000,220000,55000,60000,NA,NA,NA,NA,NA,NA,200000,200000,NA,NA
2022-06-27,Dodoma,Majengo,87500,95000,200000,250000,60000,72000,70000,85000,142000,152000,182000,182400,195000,220000,65500,83000
2022-06-27,Iringa,Iringa,65000,75000,170000,190000,150000,150000,200000,200000,180000,180000,200000,200000,170000,190000,70000,70000
2022-06-27,Kagera,Bukoba,88000,90000,170000,210000,120000,130000,140000,150000,170000,160000,200000,220000,105000,150000,65000,70000
2022-06-27,Kigoma,Kigoma,91700,91700,180000,200000,150000,150000,100000,100000,150000,150000,170000,180000,160000,165000,100000,100000
2022-06-27,Mara,Musoma,110000,120000,180000,200000,110000,120000,NA,NA,NA,NA,NA,NA,180000,200000,120000,100000
2022-06-27,Morogoro,Morogoro,82000,83600,220000,230000,120000,120000,120000,120000,180000,180000,220000,220000,190000,190000,85000,80000
2022-06-27,Mtwara,Njombe,68000,69000,180000,220000,95000,100000,NA,NA,NA,NA,180000,200000,195000,200000,NA,50000
2022-06-27,Njombe,Mtwara,62000,72000,200000,250000,NA,NA,NA,NA,NA,NA,180000,220000,150000,200000,NA,45000
2022-06-27,Rukwa,Sumbawanga,60000,65000,125000,160000,NA,NA,NA,NA,200000,200000,185000,200000,135000,160000,60000,75000
2022-06-27,Ruvuma,Songea,55000,60000,160000,200000,NA,NA,NA,NA,NA,NA,NA,NA,150000,180000,72000,75000
2022-06-27,Tabora,Tabora,75000,77000,190000,220000,140000,150000,NA,NA,190000,180000,NA,NA,200000,220000,90000,100000
2022-06-27,Tanga,Tanga,94000,95000,200000,210000,99500,100000,99500,100000,155000,160000,197000,200000,198000,200000,91000,90000
